========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 120548   3924  33212    0    0    18     8  254  234 90  9  2  0  0
 8  0      0 120548   3924  33212    0    0     0     0  508  488 100  0  0  0  0
 8  0      0 120548   3924  33212    0    0     0     0  507  512 100  0  0  0  0
 8  0      0 120548   3924  33212    0    0     0     0  506  510 100  0  0  0  0
 8  0      0 120548   3932  33204    0    0     0   124  513  511 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  503  507 100  1  0  0  0
10  0      0 120548   3932  33212    0    0     0     0  508  511 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  508  503 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  508  513 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  507  511 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  508  511 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  506  508 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  507  511 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  507  511 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  509  512 100  0  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  519  500 98  2  0  0  0
 8  0      0 120548   3932  33212    0    0     0     0  542  460 97  3  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 299.246
Min: 138.096
Max: 1880.800
50th percentile: 175.120
95th percentile: 1243.424
99th percentile: 1441.968
99.9th percentile: 1880.800
Jitter (μs):
Mean: 2368.060
Min: 1314.816
Max: 3201.488
Response Time (μs):
Mean: 2667.306
Min: 1508.192
Max: 4798.768
50th percentile: 2714.432
95th percentile: 4219.200
99th percentile: 4459.600
99.9th percentile: 4798.768
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052991,1689.632,2991.376,4681.008,0
2,0.102387,217.632,2387.248,2604.880,0
3,0.151720,206.928,1720.112,1927.040,0
4,0.202356,155.792,2355.776,2511.568,0
5,0.251358,213.344,1357.952,1571.296,0
6,0.302529,149.328,2529.088,2678.416,0
7,0.351619,151.552,1618.720,1770.272,0
8,0.402601,201.888,2600.640,2802.528,0
9,0.452989,1350.016,2988.592,4338.608,0
10,0.502823,168.208,2822.784,2990.992,0
11,0.552869,147.632,2868.912,3016.544,0
12,0.602380,176.832,2380.288,2557.120,0
13,0.651659,183.856,1659.040,1842.896,0
14,0.702599,166.560,2599.312,2765.872,0
15,0.752853,149.840,2853.424,3003.264,0
16,0.802527,158.368,2527.456,2685.824,0
17,0.851638,214.112,1637.920,1852.032,0
18,0.902603,175.136,2602.560,2777.696,0
19,0.952908,1237.824,2908.208,4146.032,0
20,1.002542,148.768,2542.352,2691.120,0
21,1.051583,187.136,1582.768,1769.904,0
22,1.102548,149.504,2548.320,2697.824,0
23,1.151700,153.456,1700.464,1853.920,0
24,1.202582,170.288,2581.968,2752.256,0
25,1.252891,150.176,2890.912,3041.088,0
26,1.303062,148.176,3061.536,3209.712,0
27,1.351658,295.088,1657.872,1952.960,0
28,1.402579,149.712,2578.976,2728.688,0
29,1.451619,188.816,1619.120,1807.936,0
30,1.502365,156.960,2365.344,2522.304,0
31,1.551606,403.712,1606.304,2010.016,0
32,1.602481,177.104,2481.136,2658.240,0
33,1.651658,215.040,1657.760,1872.800,0
34,1.702507,173.552,2506.704,2680.256,0
35,1.751688,205.840,1688.352,1894.192,0
36,1.802549,148.240,2548.960,2697.200,0
37,1.851610,153.744,1609.920,1763.664,0
38,1.902580,153.104,2579.776,2732.880,0
39,1.952854,149.728,2853.776,3003.504,0
40,2.001613,152.032,1613.280,1765.312,0
41,2.051713,228.816,1712.928,1941.744,0
42,2.102556,148.736,2555.712,2704.448,0
43,2.151590,161.744,1589.744,1751.488,0
44,2.202108,228.144,2107.568,2335.712,0
45,2.251632,151.568,1632.128,1783.696,0
46,2.302513,152.944,2513.296,2666.240,0
47,2.352926,1243.296,2926.064,4169.360,0
48,2.401646,150.224,1646.288,1796.512,0
49,2.452834,150.688,2834.032,2984.720,0
50,2.502648,176.048,2647.920,2823.968,0
51,2.552847,151.696,2846.912,2998.608,0
52,2.602542,149.008,2541.984,2690.992,0
53,2.651607,187.984,1606.960,1794.944,0
54,2.702525,157.792,2525.152,2682.944,0
55,2.751401,350.928,1401.392,1752.320,0
56,2.802531,148.880,2530.736,2679.616,0
57,2.851563,204.688,1562.592,1767.280,0
58,2.902621,150.176,2621.136,2771.312,0
59,2.953149,267.360,3149.488,3416.848,0
60,3.002830,178.176,2830.352,3008.528,0
61,3.052868,143.600,2868.368,3011.968,0
62,3.102372,185.536,2372.032,2557.568,0
63,3.151360,179.264,1360.192,1539.456,0
64,3.202363,178.080,2363.120,2541.200,0
65,3.251697,190.448,1696.928,1887.376,0
66,3.302642,155.632,2641.648,2797.280,0
67,3.352835,149.728,2834.544,2984.272,0
68,3.402681,189.168,2680.976,2870.144,0
69,3.452759,204.240,2758.832,2963.072,0
70,3.502587,182.912,2587.376,2770.288,0
71,3.552858,148.272,2858.016,3006.288,0
72,3.602365,166.784,2364.864,2531.648,0
73,3.651380,167.872,1379.568,1547.440,0
74,3.702682,158.064,2682.016,2840.080,0
75,3.751315,193.376,1314.816,1508.192,0
76,3.802286,140.736,2286.496,2427.232,0
77,3.851621,178.832,1621.264,1800.096,0
78,3.902364,190.816,2363.952,2554.768,0
79,3.951660,191.120,1659.984,1851.104,0
80,4.002350,194.784,2349.568,2544.352,0
81,4.051373,200.640,1373.312,1573.952,0
82,4.102500,149.520,2500.016,2649.536,0
83,4.151599,158.912,1598.528,1757.440,0
84,4.202357,162.192,2356.768,2518.960,0
85,4.251365,326.464,1364.752,1691.216,0
86,4.302521,148.416,2521.152,2669.568,0
87,4.351621,254.640,1621.344,1875.984,0
88,4.402605,150.192,2605.360,2755.552,0
89,4.452800,149.840,2800.464,2950.304,0
90,4.501676,194.544,1675.888,1870.432,0
91,4.552831,172.448,2830.928,3003.376,0
92,4.602552,148.912,2551.888,2700.800,0
93,4.651625,298.384,1624.688,1923.072,0
94,4.702520,159.488,2519.504,2678.992,0
95,4.751664,171.408,1663.952,1835.360,0
96,4.802476,151.504,2476.048,2627.552,0
97,4.851776,238.320,1775.568,2013.888,0
98,4.902607,161.488,2607.392,2768.880,0
99,4.952987,1223.440,2986.928,4210.368,0
100,5.001639,168.144,1639.312,1807.456,0
101,5.051625,229.584,1624.864,1854.448,0
102,5.102605,152.176,2604.880,2757.056,0
103,5.152921,1251.456,2921.136,4172.592,0
104,5.201957,172.336,1956.784,2129.120,0
105,5.251494,203.488,1494.016,1697.504,0
106,5.302652,158.128,2652.256,2810.384,0
107,5.352859,1243.424,2859.232,4102.656,0
108,5.402519,156.096,2518.960,2675.056,0
109,5.451624,159.024,1623.504,1782.528,0
110,5.502585,177.280,2585.088,2762.368,0
111,5.552858,149.216,2858.480,3007.696,0
112,5.602591,139.008,2591.424,2730.432,0
113,5.652888,144.224,2888.288,3032.512,0
114,5.702633,178.192,2632.944,2811.136,0
115,5.752921,1181.472,2921.072,4102.544,0
116,5.802382,194.352,2382.192,2576.544,0
117,5.851690,235.984,1689.856,1925.840,0
118,5.902752,176.784,2752.416,2929.200,0
119,5.952986,1342.128,2986.272,4328.400,0
120,6.001792,189.904,1792.032,1981.936,0
121,6.052840,175.984,2840.464,3016.448,0
122,6.102647,159.744,2646.576,2806.320,0
123,6.153010,1209.248,3009.952,4219.200,0
124,6.202571,239.200,2571.472,2810.672,0
125,6.252880,148.800,2880.480,3029.280,0
126,6.302360,183.632,2360.336,2543.968,0
127,6.351779,196.896,1779.344,1976.240,0
128,6.402556,149.008,2555.552,2704.560,0
129,6.451752,238.704,1752.240,1990.944,0
130,6.502591,192.448,2591.120,2783.568,0
131,6.552851,149.024,2850.992,3000.016,0
132,6.602585,184.192,2585.040,2769.232,0
133,6.651691,168.176,1690.608,1858.784,0
134,6.702614,150.240,2613.616,2763.856,0
135,6.752740,188.160,2740.080,2928.240,0
136,6.802565,149.712,2564.720,2714.432,0
137,6.852961,1158.736,2960.880,4119.616,0
138,6.903201,302.912,3201.488,3504.400,0
139,6.951470,192.256,1470.384,1662.640,0
140,7.002547,149.840,2547.248,2697.088,0
141,7.051625,212.528,1625.408,1837.936,0
142,7.102592,168.176,2591.616,2759.792,0
143,7.151548,267.728,1547.680,1815.408,0
144,7.202618,142.160,2618.240,2760.400,0
145,7.252861,149.488,2861.232,3010.720,0
146,7.302577,183.984,2577.184,2761.168,0
147,7.351621,201.232,1620.672,1821.904,0
148,7.402595,210.912,2595.488,2806.400,0
149,7.452861,149.440,2860.800,3010.240,0
150,7.501659,149.056,1659.376,1808.432,0
151,7.551711,174.080,1710.752,1884.832,0
152,7.602574,159.792,2573.760,2733.552,0
153,7.652863,151.424,2863.312,3014.736,0
154,7.702675,152.496,2675.344,2827.840,0
155,7.752824,174.496,2823.808,2998.304,0
156,7.802099,302.064,2098.608,2400.672,0
157,7.851578,154.048,1577.792,1731.840,0
158,7.902617,212.864,2617.232,2830.096,0
159,7.952657,176.752,2657.488,2834.240,0
160,8.001692,149.056,1692.192,1841.248,0
161,8.051612,160.928,1612.064,1772.992,0
162,8.102688,159.872,2687.952,2847.824,0
163,8.152858,150.560,2857.808,3008.368,0
164,8.202622,177.664,2622.464,2800.128,0
165,8.252860,149.952,2859.936,3009.888,0
166,8.302591,159.488,2590.528,2750.016,0
167,8.353008,865.856,3008.432,3874.288,0
168,8.402643,139.904,2643.424,2783.328,0
