========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 120104   4128  33232    0    0    12     7  254  236 91  8  1  0  0
 8  0      0 119984   4128  33232    0    0     0     0  507  491 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  508  517 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0    48  506  510 99  1  0  0  0
 8  0      0 119984   4128  33232    0    0     0   124  512  479 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  506  508 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  507  516 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  502  506 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  507  511 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  505  509 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  509  507 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  503  504 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  506  510 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  506  510 100  0  0  0  0
 8  0      0 119984   4128  33232    0    0     0     0  507  514 100  0  0  0  0
 9  0      0 119984   4128  33232    0    0     0     0  509  496 100  0  0  0  0
 9  0      0 119984   4128  33232    0    0     0     0  515  439 99  1  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 239.573
Min: 131.424
Max: 1615.808
50th percentile: 172.352
95th percentile: 1147.904
99th percentile: 1366.912
99.9th percentile: 1615.808
Jitter (μs):
Mean: 2387.922
Min: 1586.800
Max: 3463.808
Response Time (μs):
Mean: 2627.495
Min: 1729.776
Max: 4813.008
50th percentile: 2624.848
95th percentile: 4339.696
99th percentile: 4566.144
99.9th percentile: 4813.008
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051877,174.688,1877.152,2051.840,0
2,0.103093,141.232,3093.328,3234.560,0
3,0.151629,181.280,1628.928,1810.208,0
4,0.202759,142.240,2758.688,2900.928,0
5,0.251587,226.368,1586.800,1813.168,0
6,0.302835,151.232,2834.848,2986.080,0
7,0.351602,154.240,1602.256,1756.496,0
8,0.402812,147.456,2812.000,2959.456,0
9,0.451601,175.728,1601.024,1776.752,0
10,0.502752,142.928,2752.272,2895.200,0
11,0.551633,192.224,1632.896,1825.120,0
12,0.602783,131.424,2783.296,2914.720,0
13,0.651694,146.576,1694.176,1840.752,0
14,0.702764,143.392,2763.968,2907.360,0
15,0.751766,144.848,1765.744,1910.592,0
16,0.802777,149.824,2776.992,2926.816,0
17,0.853222,1049.328,3222.448,4271.776,0
18,0.901852,169.184,1851.920,2021.104,0
19,0.952008,195.488,2008.336,2203.824,0
20,1.001883,195.872,1883.184,2079.056,0
21,1.053177,1247.152,3176.592,4423.744,0
22,1.101845,174.384,1844.896,2019.280,0
23,1.153097,180.208,3096.912,3277.120,0
24,1.201847,170.576,1847.456,2018.032,0
25,1.253148,1227.216,3147.968,4375.184,0
26,1.302751,146.144,2751.264,2897.408,0
27,1.351833,174.784,1833.312,2008.096,0
28,1.402861,161.744,2860.752,3022.496,0
29,1.453238,1328.064,3238.080,4566.144,0
30,1.503142,165.936,3141.920,3307.856,0
31,1.551817,145.056,1817.456,1962.512,0
32,1.602678,200.160,2677.536,2877.696,0
33,1.651593,136.720,1593.056,1729.776,0
34,1.702359,234.752,2359.232,2593.984,0
35,1.751838,246.736,1837.664,2084.400,0
36,1.802878,147.632,2878.160,3025.792,0
37,1.851855,233.664,1854.912,2088.576,0
38,1.902856,195.296,2856.128,3051.424,0
39,1.951781,296.224,1781.344,2077.568,0
40,2.002739,154.032,2738.672,2892.704,0
41,2.051846,150.752,1846.384,1997.136,0
42,2.102815,167.248,2814.528,2981.776,0
43,2.153159,1239.552,3158.608,4398.160,0
44,2.202777,143.088,2776.832,2919.920,0
45,2.251944,278.384,1944.048,2222.432,0
46,2.301881,168.848,1880.736,2049.584,0
47,2.351896,301.632,1896.256,2197.888,0
48,2.402805,186.352,2805.232,2991.584,0
49,2.451890,143.456,1890.048,2033.504,0
50,2.502331,288.048,2331.184,2619.232,0
51,2.551902,176.608,1901.824,2078.432,0
52,2.602664,134.624,2663.728,2798.352,0
53,2.651786,203.456,1786.448,1989.904,0
54,2.702810,143.664,2809.856,2953.520,0
55,2.751838,232.624,1838.480,2071.104,0
56,2.802809,144.784,2808.640,2953.424,0
57,2.851994,199.248,1993.984,2193.232,0
58,2.901857,183.936,1856.560,2040.496,0
59,2.953128,143.088,3127.520,3270.608,0
60,3.002751,143.552,2751.104,2894.656,0
61,3.051864,161.472,1864.448,2025.920,0
62,3.101876,152.544,1876.368,2028.912,0
63,3.153071,169.872,3071.248,3241.120,0
64,3.201985,173.520,1985.040,2158.560,0
65,3.253020,172.112,3020.304,3192.416,0
66,3.301879,185.152,1879.328,2064.480,0
67,3.353114,143.088,3113.888,3256.976,0
68,3.403080,172.560,3080.352,3252.912,0
69,3.451927,222.832,1926.656,2149.488,0
70,3.502815,142.208,2815.008,2957.216,0
