========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 112244   6948  35428    0    0   118    51  352  364 54 38  8  0  0
 9  0      0 112124   6948  35452    0    0     0     0  841  956 72 28  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  866  998 71 29  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  840  944 73 27  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  850  978 75 25  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  824  954 73 27  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  826  940 73 27  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  856  988 73 27  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  865 1011 68 32  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  827  942 73 27  0  0  0
 9  0      0 112124   6948  35452    0    0     0     0  798  884 76 24  0  0  0
 9  0      0 112124   6948  35452    0    0     0     0  803  895 76 24  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  837  945 74 26  0  0  0
 9  0      0 112124   6948  35452    0    0     0     0  843  953 72 28  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  875 1041 68 32  0  0  0
 8  0      0 112124   6948  35452    0    0     0     0  823  869 64 36  0  0  0
 9  0      0 112124   6948  35452    0    0     0     0  724  639 53 47  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 5 (1.667%)
Execution Time (μs):
Mean: 303.091
Min: 152.160
Max: 2160.800
50th percentile: 221.040
95th percentile: 1162.320
99th percentile: 1476.928
99.9th percentile: 2160.800
Jitter (μs):
Mean: 2433.617
Min: 992.592
Max: 5810.864
Response Time (μs):
Mean: 2736.707
Min: 1150.144
Max: 5992.624
50th percentile: 2609.968
95th percentile: 4174.352
99th percentile: 5773.792
99.9th percentile: 5992.624
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051282,167.392,1282.288,1449.680,0
2,0.102316,221.024,2316.432,2537.456,0
3,0.152273,1162.320,2272.848,3435.168,0
4,0.202455,197.712,2455.024,2652.736,0
5,0.253419,204.432,3418.880,3623.312,0
6,0.302251,230.464,2250.992,2481.456,0
7,0.353677,176.848,3677.152,3854.000,0
8,0.402455,276.080,2455.472,2731.552,0
9,0.452300,1166.400,2299.984,3466.384,0
10,0.502260,155.840,2259.728,2415.568,0
11,0.552522,210.656,2521.840,2732.496,0
12,0.602288,182.032,2287.904,2469.936,0
13,0.652437,191.840,2436.912,2628.752,0
14,0.701939,288.960,1939.328,2228.288,0
15,0.753598,214.592,3598.288,3812.880,0
16,0.802077,187.616,2076.624,2264.240,0
17,0.852354,1322.464,2354.400,3676.864,0
18,0.902445,233.232,2445.408,2678.640,0
19,0.953615,257.520,3615.024,3872.544,0
20,1.002369,192.256,2369.056,2561.312,0
21,1.052071,1300.912,2070.752,3371.664,0
22,1.102303,156.640,2303.088,2459.728,0
23,1.151355,325.616,1355.360,1680.976,0
24,1.202077,338.576,2077.312,2415.888,0
25,1.251608,186.064,1608.048,1794.112,0
26,1.302479,207.808,2478.976,2686.784,0
27,1.352460,290.768,2459.712,2750.480,0
28,1.402337,210.064,2337.440,2547.504,0
29,1.452423,320.608,2423.088,2743.696,0
30,1.501328,248.880,1328.304,1577.184,0
31,1.553512,207.728,3511.968,3719.696,0
32,1.602352,185.296,2351.856,2537.152,0
33,1.654054,251.888,4054.368,4306.256,0
34,1.702501,154.880,2501.200,2656.080,0
35,1.752084,1018.336,2084.224,3102.560,0
36,1.802299,284.032,2299.168,2583.200,0
37,1.851630,176.992,1629.968,1806.960,0
38,1.901436,221.648,1435.600,1657.248,0
39,1.951255,322.624,1254.560,1577.184,0
40,2.003327,196.144,3326.816,3522.960,0
41,2.053470,286.896,3470.160,3757.056,0
42,2.102177,198.896,2176.512,2375.408,0
43,2.152526,341.968,2525.792,2867.760,0
44,2.202017,205.696,2017.200,2222.896,0
45,2.252529,263.120,2529.456,2792.576,0
46,2.302325,241.088,2325.200,2566.288,0
47,2.351058,179.904,1058.384,1238.288,0
48,2.402274,256.384,2274.096,2530.480,0
49,2.453675,179.680,3675.152,3854.832,0
50,2.502060,154.992,2060.352,2215.344,0
51,2.552369,321.056,2369.392,2690.448,0
52,2.602348,170.144,2348.464,2518.608,0
53,2.651433,307.520,1433.152,1740.672,0
54,2.703512,437.248,3511.664,3948.912,0
55,2.751346,276.688,1345.584,1622.272,0
56,2.805811,181.760,5810.864,5992.624,1
57,2.852348,221.040,2347.584,2568.624,0
58,2.902737,156.832,2736.960,2893.792,0
59,2.953608,206.656,3608.496,3815.152,0
60,3.002643,168.928,2643.040,2811.968,0
61,3.052295,230.912,2294.912,2525.824,0
62,3.102259,155.472,2259.200,2414.672,0
63,3.152366,197.376,2366.336,2563.712,0
64,3.202429,169.488,2429.424,2598.912,0
65,3.251640,328.672,1640.032,1968.704,0
66,3.301329,199.824,1329.040,1528.864,0
67,3.352330,286.064,2329.760,2615.824,0
68,3.402384,202.448,2383.760,2586.208,0
69,3.452374,295.936,2373.552,2669.488,0
70,3.502301,325.536,2300.752,2626.288,0
71,3.552576,300.992,2575.552,2876.544,0
72,3.603061,234.480,3060.880,3295.360,0
73,3.652757,264.640,2757.072,3021.712,0
74,3.702343,199.440,2343.488,2542.928,0
75,3.752321,1533.200,2321.232,3854.432,0
76,3.802010,222.080,2010.112,2232.192,0
77,3.852455,404.336,2454.592,2858.928,0
78,3.902348,154.192,2347.600,2501.792,0
79,3.952369,388.256,2369.408,2757.664,0
80,4.002003,192.848,2002.960,2195.808,0
81,4.052373,204.848,2373.008,2577.856,0
82,4.102433,184.752,2432.944,2617.696,0
83,4.152339,217.024,2338.832,2555.856,0
84,4.201365,244.432,1365.120,1609.552,0
85,4.251461,219.056,1460.512,1679.568,0
86,4.303050,190.256,3050.128,3240.384,0
