========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 108524  10596  35560    0    0    47    42  380  415 63 34  3  0  0
 8  0      0 108344  10596  35564    0    0     0     0  854  968 74 26  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  848  972 72 28  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  843  981 75 25  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  887 1077 68 32  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  827  961 75 25  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  851 1003 72 28  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  854  996 73 27  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  839  965 77 23  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  880 1048 69 31  0  0  0
 9  0      0 108344  10596  35564    0    0     0     0  827  920 75 25  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  851 1014 73 27  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  853  995 72 28  0  0  0
 9  0      0 108344  10596  35564    0    0     0     0  841  996 73 27  0  0  0
 9  0      0 108344  10596  35564    0    0     0     0  823  968 74 26  0  0  0
 8  0      0 108344  10596  35564    0    0     0     0  769  821 69 31  0  0  0
 7  2      0 108344  10596  35564    0    0     0     0  637  491 44 56  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 221.866
Min: 152.176
Max: 379.056
50th percentile: 213.360
95th percentile: 312.048
99th percentile: 356.848
99.9th percentile: 379.056
Jitter (μs):
Mean: 2049.564
Min: 1426.416
Max: 3281.264
Response Time (μs):
Mean: 2271.430
Min: 1689.904
Max: 3494.240
50th percentile: 2094.368
95th percentile: 3188.512
99th percentile: 3349.440
99.9th percentile: 3494.240
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051977,218.864,1977.056,2195.920,0
2,0.101994,271.104,1994.192,2265.296,0
3,0.152104,180.944,2103.712,2284.656,0
4,0.201664,355.920,1664.448,2020.368,0
5,0.253057,156.080,3056.880,3212.960,0
6,0.301928,222.704,1927.664,2150.368,0
7,0.353090,169.936,3090.192,3260.128,0
8,0.401798,202.480,1797.744,2000.224,0
9,0.451781,190.592,1781.232,1971.824,0
10,0.501736,253.872,1735.616,1989.488,0
11,0.552752,224.016,2752.480,2976.496,0
12,0.601675,290.128,1675.152,1965.280,0
13,0.651753,184.192,1752.864,1937.056,0
14,0.701711,312.048,1711.136,2023.184,0
15,0.752992,175.328,2992.384,3167.712,0
16,0.801779,325.360,1778.688,2104.048,0
17,0.852931,193.536,2931.056,3124.592,0
18,0.902031,196.896,2031.360,2228.256,0
19,0.952709,189.856,2708.896,2898.752,0
20,1.001925,215.056,1924.880,2139.936,0
21,1.052753,194.864,2752.672,2947.536,0
22,1.101855,179.536,1854.608,2034.144,0
23,1.152845,178.800,2845.168,3023.968,0
24,1.201933,247.904,1932.880,2180.784,0
25,1.252729,180.288,2728.864,2909.152,0
26,1.301864,278.928,1863.616,2142.544,0
27,1.352990,187.440,2989.584,3177.024,0
28,1.401803,212.448,1802.896,2015.344,0
29,1.451875,189.616,1874.528,2064.144,0
30,1.501700,162.752,1700.256,1863.008,0
31,1.551847,154.288,1846.848,2001.136,0
32,1.601731,220.672,1730.576,1951.248,0
33,1.651926,212.992,1925.888,2138.880,0
34,1.701780,238.544,1779.712,2018.256,0
35,1.753153,154.784,3153.024,3307.808,0
36,1.801759,218.528,1759.152,1977.680,0
37,1.851940,154.592,1939.776,2094.368,0
38,1.901861,230.272,1860.784,2091.056,0
39,1.951825,214.064,1825.392,2039.456,0
40,2.001695,199.168,1694.688,1893.856,0
41,2.051714,202.064,1713.696,1915.760,0
42,2.101739,245.856,1738.944,1984.800,0
43,2.151674,195.344,1674.064,1869.408,0
44,2.201822,279.168,1822.224,2101.392,0
45,2.251975,190.352,1974.976,2165.328,0
46,2.301792,214.768,1792.064,2006.832,0
47,2.352724,211.632,2724.304,2935.936,0
48,2.401679,211.104,1679.056,1890.160,0
49,2.451929,194.880,1929.280,2124.160,0
50,2.501721,326.192,1720.752,2046.944,0
51,2.551879,180.512,1879.152,2059.664,0
52,2.601943,201.488,1943.424,2144.912,0
53,2.652861,196.288,2860.672,3056.960,0
54,2.701869,230.384,1868.768,2099.152,0
55,2.751862,266.896,1862.384,2129.280,0
56,2.801873,220.320,1872.848,2093.168,0
