========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 107936  11140  35580    0    0    41    41  382  420 64 33  3  0  0
 8  0      0 107816  11140  35580    0    0     0     0  855 1025 77 23  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  825  928 75 25  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  862 1025 74 26  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  847  982 75 25  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  853  972 71 29  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  826  966 77 23  0  0  0
 9  0      0 107816  11140  35580    0    0     0     0  811  912 76 24  0  0  0
 9  0      0 107816  11140  35580    0    0     0     0  843  987 76 24  0  0  0
 9  0      0 107816  11140  35580    0    0     0     0  833  940 76 24  0  0  0
 8  1      0 107816  11140  35580    0    0     0     0  857 1014 73 27  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  835  946 75 25  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  810  924 76 24  0  0  0
 9  0      0 107816  11140  35580    0    0     0     0  833  945 76 24  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  844 1000 75 25  0  0  0
 9  1      0 107816  11140  35580    0    0     0     0  741  735 59 41  0  0  0
 8  0      0 107816  11140  35580    0    0     0     0  666  524 44 56  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 4 (1.333%)
Execution Time (μs):
Mean: 226.219
Min: 152.672
Max: 405.744
50th percentile: 218.320
95th percentile: 322.000
99th percentile: 361.552
99.9th percentile: 405.744
Jitter (μs):
Mean: 2339.751
Min: 1287.936
Max: 23895.984
Response Time (μs):
Mean: 2565.970
Min: 1471.936
Max: 24160.240
50th percentile: 2242.176
95th percentile: 3455.360
99th percentile: 6332.672
99.9th percentile: 24160.240
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052402,267.168,2402.176,2669.344,0
2,0.102523,345.776,2523.456,2869.232,0
3,0.152366,171.280,2365.504,2536.784,0
4,0.202714,238.512,2714.144,2952.656,0
5,0.252286,260.208,2286.224,2546.432,0
6,0.301905,186.768,1904.560,2091.328,0
7,0.351397,277.728,1397.376,1675.104,0
8,0.402155,181.328,2155.216,2336.544,0
9,0.451821,295.424,1821.040,2116.464,0
10,0.501996,189.296,1996.352,2185.648,0
11,0.552011,198.640,2010.912,2209.552,0
12,0.602887,192.816,2887.328,3080.144,0
13,0.651991,205.296,1990.720,2196.016,0
14,0.702239,211.264,2238.608,2449.872,0
15,0.751887,245.744,1887.344,2133.088,0
16,0.802796,184.192,2795.824,2980.016,0
17,0.851892,222.080,1891.760,2113.840,0
18,0.902847,210.784,2847.024,3057.808,0
19,0.951319,153.008,1318.928,1471.936,0
20,1.001901,180.336,1901.152,2081.488,0
21,1.052144,199.824,2144.320,2344.144,0
22,1.102999,163.488,2999.424,3162.912,0
23,1.152332,268.688,2332.128,2600.816,0
24,1.201922,198.960,1922.224,2121.184,0
25,1.251896,294.080,1896.416,2190.496,0
26,1.303159,190.688,3158.752,3349.440,0
27,1.352069,179.600,2069.360,2248.960,0
28,1.402569,383.168,2568.752,2951.920,0
29,1.451852,265.312,1852.304,2117.616,0
30,1.502138,175.504,2137.680,2313.184,0
31,1.551858,300.048,1857.632,2157.680,0
32,1.602246,221.472,2245.504,2466.976,0
33,1.652009,205.536,2008.832,2214.368,0
34,1.702903,172.176,2902.528,3074.704,0
35,1.751830,318.544,1829.808,2148.352,0
36,1.802006,153.952,2005.840,2159.792,0
37,1.852290,247.232,2290.112,2537.344,0
38,1.901852,215.232,1851.744,2066.976,0
39,1.951832,330.896,1832.320,2163.216,0
40,2.001404,332.752,1403.552,1736.304,0
41,2.051781,210.256,1780.640,1990.896,0
42,2.101925,212.880,1924.704,2137.584,0
43,2.152135,339.168,2134.512,2473.680,0
44,2.202145,197.168,2145.056,2342.224,0
45,2.251860,269.920,1859.936,2129.856,0
46,2.302851,178.016,2850.784,3028.800,0
47,2.352064,232.032,2064.048,2296.080,0
48,2.402885,161.040,2885.440,3046.480,0
49,2.452017,227.536,2016.704,2244.240,0
50,2.502910,182.384,2910.224,3092.608,0
51,2.551800,313.968,1800.416,2114.384,0
52,2.602870,221.328,2869.600,3090.928,0
53,2.652033,233.568,2032.960,2266.528,0
54,2.702858,197.664,2857.696,3055.360,0
55,2.751882,262.928,1881.552,2144.480,0
56,2.801984,265.744,1984.384,2250.128,0
