========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 106396  12580  35608    0    0    27    39  388  431 65 33  2  0  0
 8  0      0 106276  12580  35620    0    0     0     0  870 1037 72 28  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  844  974 73 27  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  835  982 77 23  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  898 1073 68 32  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  836  941 77 23  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  831  946 77 23  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  821  943 77 23  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  826  936 77 23  0  0  0
 9  0      0 106276  12580  35620    0    0     0     0  832  968 74 26  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  833  974 74 26  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  872 1045 70 30  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  829  952 75 25  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  860 1009 71 29  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  824  936 75 25  0  0  0
 9  1      0 106276  12580  35620    0    0     0     0  761  779 62 38  0  0  0
 8  0      0 106276  12580  35620    0    0     0     0  630  486 54 46  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 255.271
Min: 151.632
Max: 10666.320
50th percentile: 208.000
95th percentile: 321.840
99th percentile: 390.880
99.9th percentile: 10666.320
Jitter (μs):
Mean: 2051.256
Min: 1005.376
Max: 3903.888
Response Time (μs):
Mean: 2306.527
Min: 1207.856
Max: 12221.664
50th percentile: 2272.704
95th percentile: 3715.680
99th percentile: 4061.792
99.9th percentile: 12221.664
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052210,255.344,2210.304,2465.648,0
2,0.102676,183.792,2675.552,2859.344,0
3,0.152449,276.896,2449.200,2726.096,0
4,0.202942,159.120,2941.824,3100.944,0
5,0.252187,178.608,2186.848,2365.456,0
6,0.301508,231.424,1507.760,1739.184,0
7,0.352468,232.160,2467.568,2699.728,0
8,0.403452,199.360,3451.872,3651.232,0
9,0.451522,228.896,1521.616,1750.512,0
10,0.503698,337.952,3698.064,4036.016,0
11,0.552034,183.840,2034.384,2218.224,0
12,0.601215,240.240,1214.656,1454.896,0
13,0.652011,207.232,2010.592,2217.824,0
14,0.701211,231.968,1210.880,1442.848,0
15,0.751708,272.864,1708.432,1981.296,0
16,0.803671,231.008,3671.456,3902.464,0
17,0.852076,190.592,2076.368,2266.960,0
18,0.901040,215.504,1040.112,1255.616,0
19,0.952477,228.160,2476.976,2705.136,0
20,1.002493,252.288,2492.560,2744.848,0
21,1.052145,201.168,2145.136,2346.304,0
22,1.102453,153.568,2453.408,2606.976,0
23,1.151443,205.024,1443.440,1648.464,0
24,1.201131,210.816,1130.688,1341.504,0
25,1.253262,308.416,3262.304,3570.720,0
26,1.301542,179.488,1541.744,1721.232,0
27,1.351541,265.840,1540.720,1806.560,0
28,1.403447,155.088,3446.656,3601.744,0
29,1.451314,163.632,1314.480,1478.112,0
30,1.502173,212.816,2172.912,2385.728,0
31,1.552309,174.480,2308.880,2483.360,0
32,1.601139,193.648,1139.360,1333.008,0
33,1.653337,255.664,3337.024,3592.688,0
34,1.701397,271.936,1396.528,1668.464,0
35,1.752321,189.792,2321.120,2510.912,0
36,1.803796,203.408,3795.616,3999.024,0
37,1.852018,172.288,2018.160,2190.448,0
38,1.901139,243.040,1138.736,1381.776,0
39,1.952049,217.232,2048.800,2266.032,0
40,2.001433,292.272,1432.880,1725.152,0
41,2.051501,244.976,1500.864,1745.840,0
42,2.102161,184.528,2161.072,2345.600,0
43,2.151494,287.760,1494.384,1782.144,0
44,2.202175,211.456,2174.736,2386.192,0
45,2.251303,222.928,1303.152,1526.080,0
46,2.301460,263.008,1459.936,1722.944,0
47,2.351210,166.976,1209.632,1376.608,0
48,2.401140,237.168,1139.584,1376.752,0
49,2.451341,188.928,1340.976,1529.904,0
50,2.501312,187.712,1312.080,1499.792,0
51,2.552262,197.248,2262.288,2459.536,0
52,2.602015,225.776,2014.608,2240.384,0
53,2.652200,201.328,2200.496,2401.824,0
54,2.701214,179.264,1213.920,1393.184,0
55,2.753360,209.392,3359.952,3569.344,0
56,2.802172,178.992,2171.696,2350.688,0
