========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 104708  13976  35616    0    0    22    39  390  434 66 32  2  0  0
 8  0      0 104708  13976  35656    0    0     0     0  809  888 77 23  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  825  937 76 24  0  0  0
 9  0      0 104708  13976  35656    0    0     0     0  878 1038 70 30  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  829  956 73 27  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  832  952 75 25  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  851  993 73 27  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  835  987 75 25  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  809  917 76 24  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  814  914 73 27  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  789  861 77 23  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  806  915 75 25  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  831  971 77 23  0  0  0
 9  0      0 104708  13976  35656    0    0     0     0  823  922 77 23  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  838  961 75 25  0  0  0
 8  1      0 104708  13976  35656    0    0     0     0  739  785 66 34  0  0  0
 8  0      0 104708  13976  35656    0    0     0     0  630  439 43 57  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 199.525
Min: 135.088
Max: 1555.776
50th percentile: 173.808
95th percentile: 286.528
99th percentile: 1309.136
99.9th percentile: 1555.776
Jitter (μs):
Mean: 2288.763
Min: 1235.968
Max: 4235.904
Response Time (μs):
Mean: 2488.288
Min: 1376.000
Max: 4376.000
50th percentile: 2236.800
95th percentile: 3675.888
99th percentile: 4093.392
99.9th percentile: 4376.000
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052353,522.544,2352.992,2875.536,0
2,0.103010,149.296,3009.760,3159.056,0
3,0.152025,137.824,2025.360,2163.184,0
4,0.203888,192.096,3887.840,4079.936,0
5,0.252092,183.872,2091.712,2275.584,0
6,0.303324,261.216,3323.776,3584.992,0
7,0.352178,194.384,2178.336,2372.720,0
8,0.403573,183.168,3572.640,3755.808,0
9,0.451862,186.224,1862.496,2048.720,0
10,0.502213,194.704,2212.784,2407.488,0
11,0.551343,266.208,1343.424,1609.632,0
12,0.602305,140.640,2305.168,2445.808,0
13,0.652117,149.616,2117.184,2266.800,0
14,0.701394,269.440,1394.416,1663.856,0
15,0.751836,147.264,1835.840,1983.104,0
16,0.801995,178.080,1994.624,2172.704,0
17,0.852191,218.208,2191.168,2409.376,0
18,0.902853,201.152,2853.424,3054.576,0
19,0.952239,135.088,2238.544,2373.632,0
20,1.003038,159.872,3037.616,3197.488,0
21,1.051867,155.856,1866.528,2022.384,0
22,1.102044,188.688,2044.080,2232.768,0
23,1.151834,148.848,1833.632,1982.480,0
24,1.201984,213.344,1984.208,2197.552,0
25,1.252109,135.840,2108.512,2244.352,0
26,1.301329,248.608,1329.152,1577.760,0
27,1.351796,177.440,1796.032,1973.472,0
28,1.403481,195.168,3480.720,3675.888,0
29,1.451501,146.112,1501.184,1647.296,0
30,1.502417,173.584,2417.088,2590.672,0
31,1.551750,208.560,1749.952,1958.512,0
32,1.603158,172.736,3157.856,3330.592,0
33,1.652205,189.536,2205.168,2394.704,0
34,1.703388,220.128,3388.016,3608.144,0
35,1.751817,167.456,1816.976,1984.432,0
36,1.802019,139.776,2019.488,2159.264,0
37,1.851738,207.200,1738.448,1945.648,0
38,1.902486,235.152,2486.096,2721.248,0
39,1.951926,169.664,1926.000,2095.664,0
40,2.003396,323.664,3396.176,3719.840,0
41,2.052011,148.224,2011.248,2159.472,0
42,2.103264,137.952,3263.616,3401.568,0
43,2.151834,186.688,1834.240,2020.928,0
44,2.204236,140.096,4235.904,4376.000,0
45,2.251895,157.248,1894.896,2052.144,0
46,2.303116,172.704,3116.368,3289.072,0
47,2.352051,146.960,2050.608,2197.568,0
48,2.402896,170.528,2895.584,3066.112,0
49,2.451797,178.784,1796.752,1975.536,0
50,2.503456,164.224,3456.448,3620.672,0
51,2.551992,136.704,1991.600,2128.304,0
52,2.601951,182.320,1950.832,2133.152,0
53,2.652158,182.864,2158.192,2341.056,0
54,2.702375,214.336,2374.624,2588.960,0
55,2.751236,140.032,1235.968,1376.000,0
56,2.803026,195.584,3026.192,3221.776,0
57,2.851743,228.880,1743.168,1972.048,0
58,2.903259,136.032,3259.376,3395.408,0
59,2.951990,136.592,1990.192,2126.784,0
60,3.003479,151.504,3479.136,3630.640,0
61,3.051982,165.376,1981.824,2147.200,0
62,3.102998,138.656,2997.872,3136.528,0
63,3.151825,154.848,1825.376,1980.224,0
64,3.201965,146.256,1965.456,2111.712,0
65,3.252105,135.696,2105.184,2240.880,0
66,3.303078,186.288,3077.648,3263.936,0
67,3.351840,137.104,1839.696,1976.800,0
68,3.401999,151.776,1998.800,2150.576,0
69,3.452324,200.160,2323.776,2523.936,0
70,3.501970,187.024,1970.000,2157.024,0
71,3.551744,212.464,1743.760,1956.224,0
72,3.602345,264.560,2345.168,2609.728,0
73,3.651851,153.728,1850.896,2004.624,0
74,3.702295,147.488,2294.608,2442.096,0
75,3.752050,148.928,2049.968,2198.896,0
76,3.801971,193.696,1970.944,2164.640,0
77,3.852119,137.008,2118.960,2255.968,0
78,3.902065,216.448,2065.232,2281.680,0
79,3.951861,214.800,1861.152,2075.952,0
80,4.003090,149.712,3090.272,3239.984,0
81,4.052542,241.456,2541.792,2783.248,0
82,4.102373,236.992,2372.976,2609.968,0
83,4.152020,160.704,2019.536,2180.240,0
84,4.202028,176.688,2027.680,2204.368,0
85,4.251933,171.920,1933.472,2105.392,0
86,4.303556,329.968,3555.744,3885.712,0
87,4.351985,156.400,1984.944,2141.344,0
88,4.402343,207.200,2343.424,2550.624,0
89,4.451810,153.264,1809.792,1963.056,0
90,4.503156,155.792,3156.192,3311.984,0
91,4.552017,189.408,2016.912,2206.320,0
92,4.603193,177.184,3192.864,3370.048,0
93,4.652082,223.136,2082.384,2305.520,0
94,4.702022,209.344,2021.776,2231.120,0
95,4.751795,193.296,1795.056,1988.352,0
96,4.802943,152.864,2943.360,3096.224,0
97,4.852016,156.688,2015.600,2172.288,0
98,4.902025,189.312,2024.720,2214.032,0
99,4.951803,179.008,1803.168,1982.176,0
100,5.002045,195.408,2045.344,2240.752,0
101,5.051970,149.600,1969.600,2119.200,0
102,5.103173,202.272,3172.576,3374.848,0
103,5.151856,168.896,1855.760,2024.656,0
104,5.202028,187.392,2028.112,2215.504,0
105,5.251810,159.904,1810.496,1970.400,0
106,5.303103,190.528,3102.512,3293.040,0
107,5.352093,185.072,2093.248,2278.320,0
108,5.402000,248.800,2000.480,2249.280,0
109,5.452016,147.344,2016.320,2163.664,0
110,5.502794,217.024,2793.760,3010.784,0
111,5.552296,146.928,2295.888,2442.816,0
112,5.603142,385.312,3142.144,3527.456,0
113,5.652041,239.008,2041.472,2280.480,0
