========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 104712  14328  35660    0    0    19    39  391  436 67 32  1  0  0
 8  0      0 104592  14328  35664    0    0     0     0  854  979 71 29  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  849  993 72 28  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  816  920 74 26  0  0  0
 9  0      0 104592  14328  35664    0    0     0     0  830  957 76 24  0  0  0
 9  0      0 104592  14328  35664    0    0     0     0  838  952 71 29  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  843  997 71 29  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  841  983 71 29  0  0  0
 7  2      0 104592  14328  35664    0    0     0     0  833  967 73 27  0  0  0
 9  0      0 104592  14328  35664    0    0     0     0  807  885 75 25  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  820  905 72 28  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  788  867 75 25  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  815  913 74 26  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  787  860 76 24  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  840  993 72 28  0  0  0
 7  2      0 104592  14328  35664    0    0     0     0  732  723 61 39  0  0  0
 8  0      0 104592  14328  35664    0    0     0     0  623  448 40 60  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 224.781
Min: 135.824
Max: 1535.392
50th percentile: 186.832
95th percentile: 331.504
99th percentile: 1348.016
99.9th percentile: 1535.392
Jitter (μs):
Mean: 1924.638
Min: 1071.648
Max: 5684.912
Response Time (μs):
Mean: 2149.419
Min: 1272.032
Max: 5904.928
50th percentile: 1869.856
95th percentile: 3771.120
99th percentile: 4269.184
99.9th percentile: 5904.928
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051928,283.584,1927.760,2211.344,0
2,0.101408,200.624,1408.112,1608.736,0
3,0.151614,205.248,1613.616,1818.864,0
4,0.202362,177.760,2361.840,2539.600,0
5,0.251875,243.136,1875.232,2118.368,0
6,0.301941,244.720,1941.360,2186.080,0
7,0.351417,205.840,1416.736,1622.576,0
8,0.401476,149.360,1475.728,1625.088,0
9,0.451747,210.688,1747.472,1958.160,0
10,0.503712,158.976,3711.584,3870.560,0
11,0.553540,186.000,3540.048,3726.048,0
12,0.601788,240.352,1788.096,2028.448,0
13,0.651429,211.376,1429.456,1640.832,0
14,0.701554,185.536,1553.936,1739.472,0
15,0.751412,279.776,1411.856,1691.632,0
16,0.801375,159.664,1375.456,1535.120,0
17,0.851364,183.888,1363.600,1547.488,0
18,0.901494,196.752,1493.856,1690.608,0
19,0.951580,183.776,1579.792,1763.568,0
20,1.003638,299.008,3638.448,3937.456,0
21,1.051803,169.472,1803.232,1972.704,0
22,1.101415,249.280,1415.200,1664.480,0
23,1.151843,241.424,1842.608,2084.032,0
24,1.201550,152.240,1550.368,1702.608,0
25,1.251363,218.560,1363.280,1581.840,0
26,1.301564,209.792,1564.320,1774.112,0
27,1.351560,162.832,1560.144,1722.976,0
28,1.402677,146.672,2677.168,2823.840,0
29,1.451484,258.048,1483.696,1741.744,0
30,1.503553,227.840,3553.392,3781.232,0
31,1.551393,190.384,1393.408,1583.792,0
32,1.601416,174.208,1416.240,1590.448,0
33,1.651396,172.032,1396.000,1568.032,0
34,1.701470,154.704,1469.504,1624.208,0
35,1.751379,199.136,1378.976,1578.112,0
36,1.801559,157.104,1558.832,1715.936,0
37,1.851434,151.136,1434.144,1585.280,0
38,1.901739,172.320,1738.992,1911.312,0
39,1.951463,232.160,1463.440,1695.600,0
40,2.001459,227.488,1459.264,1686.752,0
41,2.051356,245.392,1355.936,1601.328,0
42,2.101873,323.888,1873.152,2197.040,0
43,2.151383,197.232,1382.784,1580.016,0
44,2.201374,200.544,1374.448,1574.992,0
45,2.251551,176.000,1550.656,1726.656,0
46,2.301680,187.088,1679.696,1866.784,0
47,2.351725,238.208,1724.944,1963.152,0
48,2.401776,260.544,1775.760,2036.304,0
49,2.451345,251.472,1344.784,1596.256,0
50,2.501423,148.160,1422.960,1571.120,0
51,2.551590,158.768,1590.112,1748.880,0
52,2.601737,185.408,1736.896,1922.304,0
53,2.651922,208.176,1921.968,2130.144,0
54,2.701655,215.296,1655.472,1870.768,0
55,2.751314,176.496,1314.288,1490.784,0
56,2.801373,300.896,1372.704,1673.600,0
