========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 102680  16068  35724    0    0    13    38  392  437 67 32  1  0  0
 8  0      0 102500  16068  35724    0    0     0     0  842  976 75 25  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  842  960 74 26  0  0  0
 9  0      0 102500  16068  35724    0    0     0     0  830  957 74 26  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  814  938 77 23  0  0  0
 9  0      0 102500  16068  35724    0    0     0     0  844  977 73 27  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  846 1021 74 26  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  844  973 72 28  0  0  0
 9  0      0 102500  16068  35724    0    0     0     0  864 1000 69 31  0  0  0
 9  0      0 102500  16068  35724    0    0     0     0  814  936 73 27  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  824  956 74 26  0  0  0
 9  0      0 102500  16068  35724    0    0     0     0  820  934 74 26  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  830  958 75 25  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  830  980 73 27  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  839  978 75 26  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  816  900 67 33  0  0  0
 8  0      0 102500  16068  35724    0    0     0     0  641  427 37 63  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 367.371
Min: 134.880
Max: 1850.832
50th percentile: 186.032
95th percentile: 1359.776
99th percentile: 1542.016
99.9th percentile: 1850.832
Jitter (μs):
Mean: 2130.648
Min: 1030.016
Max: 4874.304
Response Time (μs):
Mean: 2498.019
Min: 1196.160
Max: 5130.368
50th percentile: 2472.672
95th percentile: 3814.000
99th percentile: 4212.688
99.9th percentile: 5130.368
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051300,165.296,1299.904,1465.200,0
2,0.103969,235.792,3968.704,4204.496,0
3,0.151500,288.960,1499.744,1788.704,0
4,0.202387,1253.568,2387.424,3640.992,0
5,0.252310,229.776,2309.968,2539.744,0
6,0.302471,174.848,2471.216,2646.064,0
7,0.352309,158.080,2309.408,2467.488,0
8,0.402054,211.968,2054.192,2266.160,0
9,0.452361,148.896,2360.912,2509.808,0
10,0.502096,1200.368,2095.536,3295.904,0
11,0.552043,191.744,2043.200,2234.944,0
12,0.602267,1211.184,2266.704,3477.888,0
13,0.652469,161.488,2469.328,2630.816,0
14,0.702294,203.040,2293.984,2497.024,0
15,0.752877,305.472,2876.656,3182.128,0
16,0.801542,191.696,1541.600,1733.296,0
17,0.852245,147.760,2244.960,2392.720,0
18,0.902428,235.712,2428.272,2663.984,0
19,0.952433,173.360,2433.280,2606.640,0
20,1.002308,192.944,2308.304,2501.248,0
21,1.051974,208.080,1973.568,2181.648,0
22,1.103598,270.736,3597.648,3868.384,0
23,1.152063,181.152,2063.136,2244.288,0
24,1.202315,195.648,2314.640,2510.288,0
25,1.252298,256.384,2298.304,2554.688,0
26,1.302517,204.208,2516.544,2720.752,0
27,1.352526,206.192,2526.304,2732.496,0
28,1.402105,167.168,2105.200,2272.368,0
29,1.452008,137.584,2007.648,2145.232,0
30,1.502349,226.000,2349.216,2575.216,0
31,1.552109,179.248,2108.624,2287.872,0
32,1.602114,1179.328,2114.160,3293.488,0
33,1.652007,169.600,2006.880,2176.480,0
34,1.702305,207.152,2304.832,2511.984,0
35,1.752102,149.904,2102.320,2252.224,0
36,1.802453,286.176,2453.040,2739.216,0
37,1.852373,135.328,2373.360,2508.688,0
38,1.902323,1091.472,2323.136,3414.608,0
39,1.951286,194.816,1286.016,1480.832,0
40,2.001509,162.368,1509.360,1671.728,0
41,2.052028,181.840,2028.032,2209.872,0
42,2.102185,1128.496,2184.512,3313.008,0
43,2.152042,136.096,2041.648,2177.744,0
44,2.203434,171.792,3434.400,3606.192,0
45,2.252537,215.664,2536.976,2752.640,0
46,2.302352,176.128,2352.352,2528.480,0
47,2.352050,164.848,2050.208,2215.056,0
48,2.402400,183.520,2400.048,2583.568,0
49,2.452121,139.296,2120.784,2260.080,0
50,2.501157,220.368,1157.248,1377.616,0
51,2.553114,209.088,3113.632,3322.720,0
52,2.602330,178.480,2329.776,2508.256,0
53,2.652288,145.728,2288.096,2433.824,0
54,2.702322,1267.248,2322.336,3589.584,0
55,2.751368,146.736,1368.432,1515.168,0
56,2.802432,204.864,2431.536,2636.400,0
57,2.852378,137.696,2378.320,2516.016,0
58,2.902320,1379.392,2320.384,3699.776,0
59,2.952034,213.936,2034.224,2248.160,0
60,3.001097,179.504,1096.656,1276.160,0
61,3.053486,259.648,3485.680,3745.328,0
62,3.102322,1027.632,2321.968,3349.600,0
63,3.152099,186.752,2099.200,2285.952,0
64,3.202388,1314.528,2387.808,3702.336,0
65,3.251972,224.608,1972.272,2196.880,0
66,3.302387,1426.400,2387.184,3813.584,0
67,3.352412,159.072,2412.032,2571.104,0
68,3.402541,195.328,2541.200,2736.528,0
69,3.451988,172.976,1987.728,2160.704,0
70,3.501123,146.512,1123.424,1269.936,0
71,3.552052,178.688,2052.432,2231.120,0
72,3.602092,139.264,2091.728,2230.992,0
73,3.651078,159.440,1078.304,1237.744,0
74,3.703833,311.792,3832.768,4144.560,0
75,3.752400,168.560,2400.272,2568.832,0
76,3.802339,1392.032,2338.912,3730.944,0
77,3.851041,178.016,1040.560,1218.576,0
78,3.903906,312.832,3906.112,4218.944,0
79,3.951284,153.632,1284.208,1437.840,0
80,4.002283,1372.816,2283.328,3656.144,0
81,4.052027,178.672,2026.656,2205.328,0
82,4.101030,177.888,1030.016,1207.904,0
83,4.152222,138.464,2221.648,2360.112,0
84,4.202378,244.512,2378.208,2622.720,0
85,4.251053,149.872,1053.392,1203.264,0
86,4.302121,1127.600,2121.472,3249.072,0
87,4.352261,155.168,2261.424,2416.592,0
88,4.401391,291.040,1390.576,1681.616,0
89,4.452321,162.080,2320.544,2482.624,0
90,4.502345,1468.528,2345.472,3814.000,0
91,4.552288,203.040,2288.304,2491.344,0
92,4.602303,1218.656,2303.232,3521.888,0
93,4.651984,224.752,1984.144,2208.896,0
94,4.702346,1175.088,2345.776,3520.864,0
95,4.752542,139.328,2542.400,2681.728,0
96,4.802080,319.728,2080.400,2400.128,0
97,4.852222,148.416,2221.504,2369.920,0
98,4.902370,1383.840,2370.384,3754.224,0
99,4.952383,140.304,2383.024,2523.328,0
100,5.003640,208.288,3640.288,3848.576,0
101,5.052060,188.896,2060.128,2249.024,0
102,5.101069,150.944,1069.248,1220.192,0
103,5.153346,174.528,3345.536,3520.064,0
104,5.201392,270.432,1392.016,1662.448,0
105,5.252316,200.352,2315.696,2516.048,0
106,5.301294,170.128,1294.368,1464.496,0
107,5.352032,148.864,2031.760,2180.624,0
108,5.402322,1359.856,2321.680,3681.536,0
109,5.452309,188.304,2308.544,2496.848,0
110,5.502277,890.640,2277.168,3167.808,0
111,5.552301,212.656,2300.512,2513.168,0
112,5.602262,1164.192,2262.336,3426.528,0
113,5.651986,220.320,1986.160,2206.480,0
114,5.702121,137.088,2120.720,2257.808,0
115,5.752043,149.776,2043.360,2193.136,0
116,5.801034,162.096,1034.064,1196.160,0
117,5.852287,167.152,2286.704,2453.856,0
118,5.902448,286.128,2447.984,2734.112,0
119,5.952260,163.120,2260.048,2423.168,0
120,6.002352,174.336,2352.096,2526.432,0
121,6.051391,210.544,1390.848,1601.392,0
122,6.102261,1455.552,2261.456,3717.008,0
123,6.152515,137.216,2514.848,2652.064,0
124,6.202536,191.248,2535.824,2727.072,0
125,6.251937,250.752,1936.880,2187.632,0
126,6.302335,1307.968,2335.232,3643.200,0
127,6.352437,170.896,2437.184,2608.080,0
128,6.402223,173.296,2222.640,2395.936,0
129,6.452353,208.144,2352.992,2561.136,0
130,6.502119,1372.352,2119.216,3491.568,0
131,6.551338,175.344,1338.480,1513.824,0
132,6.602247,1406.240,2247.232,3653.472,0
133,6.652047,183.952,2046.800,2230.752,0
134,6.702354,1258.896,2354.352,3613.248,0
135,6.752308,171.008,2307.968,2478.976,0
136,6.802461,146.064,2460.592,2606.656,0
137,6.852397,194.912,2397.040,2591.952,0
138,6.902448,238.656,2448.128,2686.784,0
139,6.952322,150.288,2322.384,2472.672,0
140,7.001614,210.544,1614.304,1824.848,0
141,7.052310,187.248,2309.744,2496.992,0
142,7.102358,1059.808,2358.224,3418.032,0
143,7.152277,193.872,2276.624,2470.496,0
144,7.202452,158.576,2452.288,2610.864,0
145,7.252262,278.384,2261.568,2539.952,0
146,7.301505,151.744,1505.376,1657.120,0
147,7.352288,149.568,2287.856,2437.424,0
148,7.402292,1207.984,2292.064,3500.048,0
149,7.452111,165.936,2110.896,2276.832,0
150,7.502050,140.096,2049.504,2189.600,0
151,7.551977,224.720,1976.912,2201.632,0
152,7.602314,1350.576,2313.984,3664.560,0
153,7.652334,159.552,2334.224,2493.776,0
