========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 101876  16732  35740    0    0    11    37  392  437 68 32  1  0  0
 8  0      0 101816  16732  35744    0    0     0     0  831  917 75 25  0  0  0
 9  0      0 101816  16732  35744    0    0     0     0  793  853 76 24  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  785  826 75 25  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  811  903 73 27  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  808  920 76 24  0  0  0
 8  1      0 101816  16732  35744    0    0     0     0  823  932 73 27  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  795  849 74 26  0  0  0
 9  0      0 101816  16732  35744    0    0     0     0  824  940 73 27  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  810  910 74 26  0  0  0
10  0      0 101816  16732  35744    0    0     0     0  822  948 73 27  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  842  952 68 32  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  801  893 75 25  0  0  0
 8  1      0 101816  16732  35744    0    0     0     0  837  928 72 28  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  842  958 69 31  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  765  749 60 40  0  0  0
 8  0      0 101816  16732  35744    0    0     0     0  757  631 46 54  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 243.325
Min: 129.312
Max: 1562.928
50th percentile: 181.936
95th percentile: 419.632
99th percentile: 1440.384
99.9th percentile: 1562.928
Jitter (μs):
Mean: 2586.065
Min: 1142.960
Max: 17641.568
Response Time (μs):
Mean: 2829.390
Min: 1298.928
Max: 17782.048
50th percentile: 2646.544
95th percentile: 4217.072
99th percentile: 4766.224
99.9th percentile: 17782.048
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053351,174.848,3350.992,3525.840,0
2,0.102712,610.336,2711.888,3322.224,0
3,0.154601,173.760,4600.912,4774.672,0
4,0.202256,274.464,2256.336,2530.800,0
5,0.252566,172.720,2566.496,2739.216,0
6,0.302282,224.496,2281.840,2506.336,0
7,0.354469,162.784,4469.440,4632.224,0
8,0.402309,143.552,2309.216,2452.768,0
9,0.453694,222.464,3694.080,3916.544,0
10,0.502484,151.536,2484.160,2635.696,0
11,0.553673,175.392,3673.168,3848.560,0
12,0.602674,185.040,2674.128,2859.168,0
13,0.651407,195.088,1406.976,1602.064,0
14,0.702549,197.984,2548.880,2746.864,0
15,0.752442,1143.632,2442.144,3585.776,0
16,0.802460,167.872,2460.480,2628.352,0
17,0.852470,1273.664,2470.208,3743.872,0
18,0.902136,164.032,2136.432,2300.464,0
19,0.951466,255.360,1465.920,1721.280,0
20,1.003076,241.616,3076.368,3317.984,0
21,1.052567,233.664,2566.560,2800.224,0
22,1.102409,150.784,2409.056,2559.840,0
23,1.152395,1164.640,2395.408,3560.048,0
24,1.202559,160.928,2558.576,2719.504,0
25,1.252459,445.232,2458.704,2903.936,0
26,1.301888,144.000,1887.520,2031.520,0
27,1.354077,205.856,4077.184,4283.040,0
28,1.401684,143.296,1684.448,1827.744,0
29,1.451376,195.504,1376.080,1571.584,0
30,1.502383,213.776,2382.672,2596.448,0
31,1.552476,177.456,2476.048,2653.504,0
32,1.602081,220.704,2081.152,2301.856,0
33,1.651607,227.648,1606.704,1834.352,0
34,1.702606,167.120,2605.888,2773.008,0
35,1.752451,194.064,2451.472,2645.536,0
36,1.802464,139.488,2463.632,2603.120,0
37,1.852934,218.688,2933.712,3152.400,0
38,1.902069,240.720,2069.280,2310.000,0
39,1.951274,169.456,1273.952,1443.408,0
40,2.002600,173.568,2600.112,2773.680,0
41,2.051572,196.912,1571.648,1768.560,0
42,2.102702,193.456,2701.568,2895.024,0
43,2.151460,194.752,1460.016,1654.768,0
44,2.202449,180.368,2448.992,2629.360,0
45,2.253924,419.632,3924.160,4343.792,0
46,2.302145,221.776,2144.608,2366.384,0
47,2.352355,355.632,2355.184,2710.816,0
48,2.402447,195.840,2446.912,2642.752,0
49,2.453674,238.096,3673.920,3912.016,0
50,2.502437,167.328,2437.088,2604.416,0
51,2.553883,157.088,3882.720,4039.808,0
52,2.602480,150.528,2479.808,2630.336,0
53,2.652439,156.848,2438.656,2595.504,0
54,2.702634,164.976,2634.112,2799.088,0
55,2.751557,325.168,1557.136,1882.304,0
56,2.804344,245.408,4343.664,4589.072,0
