========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 101660  16860  35736    0    0    10    37  392  437 68 32  1  0  0
 9  0      0 101660  16860  35744    0    0     0     0  822  904 76 24  0  0  0
 9  0      0 101660  16860  35744    0    0     0     0  832  934 74 26  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  820  924 75 25  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  834  930 74 26  0  0  0
 8  1      0 101660  16860  35744    0    0     0     0  810  892 78 22  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  800  887 76 24  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  802  890 76 24  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  826  924 75 25  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  817  922 77 23  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  792  873 77 23  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  827  926 76 24  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  858  992 72 28  0  0  0
 7  2      0 101660  16860  35744    0    0     0     0  847  984 76 24  0  0  0
 8  0      0 101660  16860  35744    0    0     0     0  857  998 72 28  0  0  0
10  1      0 101660  16860  35744    0    0     0     0  769  781 63 37  0  0  0
 9  0      0 101660  16860  35744    0    0     0     0  614  445 37 63  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 2 (0.667%)
Execution Time (μs):
Mean: 188.734
Min: 129.600
Max: 344.688
50th percentile: 183.472
95th percentile: 277.328
99th percentile: 325.872
99.9th percentile: 344.688
Jitter (μs):
Mean: 2016.854
Min: 1444.096
Max: 5042.640
Response Time (μs):
Mean: 2205.587
Min: 1608.288
Max: 5271.088
50th percentile: 1914.272
95th percentile: 3920.912
99th percentile: 4812.032
99.9th percentile: 5271.088
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051985,152.288,1984.864,2137.152,0
2,0.102781,170.240,2781.120,2951.360,0
3,0.152025,132.208,2025.328,2157.536,0
4,0.201514,221.952,1514.016,1735.968,0
5,0.251851,189.792,1850.704,2040.496,0
6,0.302035,275.808,2035.216,2311.024,0
7,0.351645,187.008,1644.784,1831.792,0
8,0.401883,194.064,1883.312,2077.376,0
9,0.453538,148.128,3537.680,3685.808,0
10,0.501653,203.616,1652.528,1856.144,0
11,0.552766,178.368,2766.496,2944.864,0
12,0.601495,178.656,1495.008,1673.664,0
13,0.651667,169.936,1667.472,1837.408,0
14,0.701520,236.000,1519.504,1755.504,0
15,0.751647,140.912,1647.392,1788.304,0
16,0.801793,185.440,1793.440,1978.880,0
17,0.852984,237.056,2984.064,3221.120,0
18,0.901569,229.376,1568.720,1798.096,0
19,0.951840,246.512,1839.936,2086.448,0
20,1.001554,183.504,1553.984,1737.488,0
21,1.051578,138.640,1577.696,1716.336,0
22,1.101502,253.632,1501.504,1755.136,0
23,1.151655,143.904,1654.800,1798.704,0
24,1.201583,240.480,1583.072,1823.552,0
25,1.251891,161.456,1891.296,2052.752,0
26,1.301616,319.232,1615.792,1935.024,0
27,1.353197,205.456,3196.640,3402.096,0
28,1.401595,162.688,1595.344,1758.032,0
29,1.451782,155.200,1781.888,1937.088,0
30,1.501774,211.808,1774.448,1986.256,0
31,1.553555,196.832,3555.280,3752.112,0
32,1.601974,157.648,1974.448,2132.096,0
33,1.651450,177.888,1450.048,1627.936,0
34,1.701774,188.928,1773.760,1962.688,0
35,1.751664,197.232,1663.648,1860.880,0
36,1.801731,155.616,1730.656,1886.272,0
37,1.851608,132.048,1608.464,1740.512,0
38,1.901771,159.264,1771.424,1930.688,0
39,1.951575,163.008,1575.168,1738.176,0
40,2.001557,257.824,1556.880,1814.704,0
41,2.052036,155.136,2036.352,2191.488,0
42,2.101583,193.440,1583.264,1776.704,0
43,2.151855,178.160,1854.752,2032.912,0
44,2.201770,191.856,1769.696,1961.552,0
45,2.253945,135.072,3944.944,4080.016,0
46,2.303624,149.152,3624.480,3773.632,0
47,2.351723,150.592,1723.232,1873.824,0
48,2.401750,182.480,1749.824,1932.304,0
49,2.452823,167.648,2822.608,2990.256,0
50,2.501745,178.800,1745.088,1923.888,0
51,2.551979,130.032,1978.512,2108.544,0
52,2.601587,325.872,1586.848,1912.720,0
53,2.651786,130.304,1785.856,1916.160,0
54,2.701709,235.520,1708.688,1944.208,0
55,2.753626,185.264,3625.568,3810.832,0
56,2.801648,166.000,1647.712,1813.712,0
