========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 105324   8696  35508    0    0    51    43  370  410 62 34  4  0  0
16  0      0 105144   8696  35560    0    0     0     0  834  956 73 27  0  0  0
16  1      0 105144   8696  35560    0    0     0     0  791  906 77 24  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  858 1023 69 31  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  814  933 77 23  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  820  978 75 25  0  0  0
16  1      0 105144   8696  35560    0    0     0     0  787  867 79 21  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  807  938 76 24  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  822  964 74 26  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  822  968 76 24  0  0  0
14  3      0 105144   8696  35560    0    0     0     0  803  940 76 24  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  828  996 78 22  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  839 1022 73 27  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  824  973 77 23  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  860 1013 72 28  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  779  898 73 27  0  0  0
16  0      0 105144   8696  35560    0    0     0     0  707  705 54 46  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 437.328
Min: 152.608
Max: 2208.432
50th percentile: 218.336
95th percentile: 1565.312
99th percentile: 1954.064
99.9th percentile: 2208.432
Jitter (μs):
Mean: 2324.083
Min: 1120.720
Max: 4510.496
Response Time (μs):
Mean: 2761.411
Min: 1343.072
Max: 5974.784
50th percentile: 2537.168
95th percentile: 4102.528
99th percentile: 4719.312
99.9th percentile: 5974.784
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.054510,208.816,4510.496,4719.312,0
2,0.102465,152.608,2464.752,2617.360,0
3,0.152288,1269.280,2287.504,3556.784,0
4,0.202321,177.152,2320.592,2497.744,0
5,0.252087,225.488,2087.408,2312.896,0
6,0.302234,201.232,2233.680,2434.912,0
7,0.352238,1467.952,2237.568,3705.520,0
8,0.403306,184.192,3306.432,3490.624,0
9,0.452280,1131.264,2280.160,3411.424,0
10,0.502074,181.232,2074.336,2255.568,0
11,0.552175,195.824,2174.720,2370.544,0
12,0.603263,169.984,3263.232,3433.216,0
13,0.652199,1278.848,2199.072,3477.920,0
14,0.702508,230.704,2507.936,2738.640,0
15,0.751935,210.464,1935.344,2145.808,0
16,0.802286,259.888,2286.112,2546.000,0
17,0.852565,421.584,2564.944,2986.528,0
18,0.902462,169.392,2462.272,2631.664,0
19,0.952483,399.584,2483.072,2882.656,0
20,1.002737,296.848,2737.168,3034.016,0
21,1.052017,154.512,2016.544,2171.056,0
22,1.103385,312.480,3385.408,3697.888,0
23,1.152942,155.728,2941.712,3097.440,0
24,1.202476,245.184,2475.536,2720.720,0
25,1.252226,202.656,2226.096,2428.752,0
26,1.302413,232.976,2412.864,2645.840,0
27,1.352028,159.808,2028.256,2188.064,0
28,1.402159,209.104,2159.040,2368.144,0
29,1.451981,184.768,1981.024,2165.792,0
30,1.502312,175.024,2311.936,2486.960,0
31,1.552356,1650.336,2356.160,4006.496,0
32,1.602293,192.160,2292.848,2485.008,0
33,1.652175,202.688,2175.232,2377.920,0
34,1.702417,286.608,2417.360,2703.968,0
35,1.752242,1180.416,2241.776,3422.192,0
36,1.802473,176.464,2472.800,2649.264,0
37,1.852292,1485.024,2291.840,3776.864,0
38,1.902322,182.832,2321.584,2504.416,0
39,1.952411,1507.408,2410.784,3918.192,0
40,2.003278,323.920,3278.144,3602.064,0
41,2.052250,210.880,2250.416,2461.296,0
42,2.102174,191.680,2173.728,2365.408,0
43,2.152484,349.888,2483.744,2833.632,0
44,2.202384,289.024,2383.568,2672.592,0
45,2.252213,180.176,2213.280,2393.456,0
46,2.302299,239.120,2299.248,2538.368,0
47,2.352318,1245.456,2318.272,3563.728,0
48,2.402297,247.664,2296.912,2544.576,0
49,2.453254,333.968,3253.920,3587.888,0
50,2.502014,201.600,2013.776,2215.376,0
51,2.551943,155.360,1942.928,2098.288,0
52,2.602420,200.800,2420.256,2621.056,0
53,2.651951,186.336,1950.976,2137.312,0
54,2.703463,263.328,3463.152,3726.480,0
55,2.754196,155.280,4196.464,4351.744,0
56,2.801414,246.448,1414.352,1660.800,0
57,2.852180,169.760,2179.776,2349.536,0
58,2.902458,229.200,2457.696,2686.896,0
59,2.952232,1316.560,2231.952,3548.512,0
60,3.001978,253.920,1977.712,2231.632,0
61,3.052221,194.304,2220.880,2415.184,0
62,3.102417,208.560,2416.688,2625.248,0
63,3.152240,165.712,2239.792,2405.504,0
64,3.202254,180.496,2253.792,2434.288,0
65,3.252114,219.312,2114.320,2333.632,0
66,3.302299,191.312,2298.576,2489.888,0
