========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0  98240  15208  35736    0    0    13    37  387  441 68 31  1  0  0
16  0      0  98240  15208  35744    0    0     0     0  825  956 75 25  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  815  941 74 26  0  0  0
17  0      0  98240  15208  35744    0    0     0     0  825  969 75 25  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  815  989 75 25  0  0  0
18  0      0  98240  15208  35744    0    0     0     0  833  971 74 26  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  849 1022 72 28  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  822  976 77 24  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  817  973 74 26  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  769  869 80 20  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  778  881 80 20  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  830  979 77 23  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  819  949 77 23  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  829  980 73 27  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  839  974 72 28  0  0  0
15  2      0  98240  15208  35744    0    0     0     0  724  734 67 33  0  0  0
16  0      0  98240  15208  35744    0    0     0     0  635  548 44 56  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 246.805
Min: 133.408
Max: 1968.656
50th percentile: 177.120
95th percentile: 1047.584
99th percentile: 1438.048
99.9th percentile: 1968.656
Jitter (μs):
Mean: 2278.573
Min: 1177.472
Max: 4090.064
Response Time (μs):
Mean: 2525.378
Min: 1358.544
Max: 4245.840
50th percentile: 2331.392
95th percentile: 3394.048
99th percentile: 4020.976
99.9th percentile: 4245.840
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053046,201.008,3046.064,3247.072,0
2,0.102043,148.016,2042.992,2191.008,0
3,0.151804,183.232,1804.000,1987.232,0
4,0.202202,201.776,2202.288,2404.064,0
5,0.251706,144.816,1706.384,1851.200,0
6,0.302888,170.832,2887.696,3058.528,0
7,0.352803,144.480,2803.024,2947.504,0
8,0.402910,191.328,2910.016,3101.344,0
9,0.452869,194.768,2869.152,3063.920,0
10,0.502573,163.424,2573.296,2736.720,0
11,0.551867,188.192,1867.056,2055.248,0
12,0.602126,168.848,2126.272,2295.120,0
13,0.652094,1669.824,2094.096,3763.920,0
14,0.703059,153.632,3059.408,3213.040,0
15,0.751604,203.952,1603.856,1807.808,0
16,0.803015,188.688,3014.976,3203.664,0
17,0.852543,146.816,2543.040,2689.856,0
18,0.902775,203.568,2775.120,2978.688,0
19,0.952877,151.440,2877.088,3028.528,0
20,1.002791,196.496,2791.456,2987.952,0
21,1.052823,184.112,2823.056,3007.168,0
22,1.101866,186.960,1866.048,2053.008,0
23,1.152917,344.112,2917.120,3261.232,0
24,1.201610,198.432,1609.840,1808.272,0
25,1.252664,167.184,2663.520,2830.704,0
26,1.301821,209.136,1820.672,2029.808,0
27,1.353366,238.528,3366.000,3604.528,0
28,1.402873,173.808,2872.912,3046.720,0
29,1.452627,170.160,2627.200,2797.360,0
30,1.502908,257.744,2908.496,3166.240,0
31,1.552980,381.824,2979.904,3361.728,0
32,1.602036,135.472,2036.256,2171.728,0
33,1.651871,170.800,1870.656,2041.456,0
34,1.702601,166.736,2600.704,2767.440,0
35,1.751619,134.144,1619.232,1753.376,0
36,1.803095,133.968,3094.608,3228.576,0
37,1.852912,188.048,2911.568,3099.616,0
38,1.903094,137.408,3094.000,3231.408,0
39,1.951646,175.120,1646.016,1821.136,0
40,2.002764,256.944,2764.448,3021.392,0
41,2.052573,141.280,2572.512,2713.792,0
42,2.101869,192.016,1869.472,2061.488,0
43,2.152567,145.696,2566.816,2712.512,0
44,2.201930,210.288,1929.520,2139.808,0
45,2.252850,236.512,2850.064,3086.576,0
46,2.302896,184.176,2896.240,3080.416,0
47,2.352798,190.992,2798.256,2989.248,0
48,2.402777,217.504,2776.960,2994.464,0
49,2.452632,162.848,2631.888,2794.736,0
50,2.502986,170.224,2986.464,3156.688,0
51,2.552915,147.520,2914.768,3062.288,0
52,2.603130,220.320,3129.824,3350.144,0
53,2.652884,307.120,2883.776,3190.896,0
54,2.701630,265.600,1629.824,1895.424,0
55,2.752579,182.880,2579.024,2761.904,0
56,2.801949,173.424,1948.976,2122.400,0
57,2.851772,143.872,1772.336,1916.208,0
58,2.903637,174.272,3636.736,3811.008,0
59,2.954090,155.776,4090.064,4245.840,0
60,3.001913,241.632,1912.912,2154.544,0
61,3.052821,148.960,2820.608,2969.568,0
62,3.103392,231.760,3392.496,3624.256,0
63,3.152869,186.704,2869.088,3055.792,0
64,3.203158,172.256,3157.920,3330.176,0
65,3.251919,1328.576,1918.896,3247.472,0
66,3.302163,245.872,2163.456,2409.328,0
67,3.351900,148.784,1900.288,2049.072,0
68,3.403096,146.896,3095.824,3242.720,0
69,3.451645,186.336,1644.512,1830.848,0
70,3.502900,150.160,2900.144,3050.304,0
71,3.552762,166.576,2762.064,2928.640,0
72,3.603051,147.712,3051.152,3198.864,0
73,3.651975,225.440,1974.512,2199.952,0
74,3.703047,175.936,3047.440,3223.376,0
75,3.751603,145.360,1603.408,1748.768,0
76,3.803604,189.088,3603.744,3792.832,0
77,3.852987,250.032,2987.184,3237.216,0
78,3.901633,257.616,1632.752,1890.368,0
79,3.952618,185.536,2617.504,2803.040,0
80,4.002782,160.480,2781.808,2942.288,0
81,4.051850,171.760,1850.320,2022.080,0
82,4.102901,172.816,2901.168,3073.984,0
83,4.151624,183.536,1623.632,1807.168,0
84,4.202031,138.416,2030.912,2169.328,0
85,4.251912,174.784,1911.648,2086.432,0
86,4.302082,142.496,2081.920,2224.416,0
87,4.351939,135.696,1938.688,2074.384,0
88,4.402944,262.368,2944.240,3206.608,0
89,4.452018,1318.768,2018.272,3337.040,0
90,4.502867,153.008,2866.688,3019.696,0
91,4.553098,208.704,3098.064,3306.768,0
92,4.602107,168.432,2106.512,2274.944,0
93,4.651908,217.728,1908.112,2125.840,0
94,4.701903,242.448,1902.784,2145.232,0
95,4.752629,172.976,2629.008,2801.984,0
96,4.802865,179.824,2864.560,3044.384,0
97,4.852052,1968.656,2052.320,4020.976,0
98,4.902749,164.192,2748.656,2912.848,0
99,4.952570,135.728,2569.664,2705.392,0
100,5.002021,191.248,2021.200,2212.448,0
101,5.051873,156.704,1873.168,2029.872,0
102,5.102805,182.880,2805.152,2988.032,0
103,5.152759,239.248,2759.488,2998.736,0
104,5.202906,290.608,2906.000,3196.608,0
105,5.251923,177.120,1923.344,2100.464,0
106,5.301942,244.352,1942.032,2186.384,0
107,5.351907,173.040,1907.248,2080.288,0
108,5.401785,248.816,1784.928,2033.744,0
109,5.452992,234.016,2991.984,3226.000,0
110,5.501583,240.896,1582.528,1823.424,0
111,5.552541,160.608,2541.216,2701.824,0
112,5.601877,136.752,1877.376,2014.128,0
113,5.652924,150.080,2923.984,3074.064,0
114,5.701668,187.760,1667.504,1855.264,0
115,5.752627,173.136,2626.576,2799.712,0
116,5.802926,134.000,2926.064,3060.064,0
117,5.852695,143.456,2694.960,2838.416,0
118,5.902958,133.584,2958.464,3092.048,0
119,5.952629,193.152,2629.376,2822.528,0
120,6.001726,170.992,1726.144,1897.136,0
121,6.053048,220.640,3047.760,3268.400,0
122,6.101810,245.872,1810.384,2056.256,0
123,6.152559,177.312,2558.704,2736.016,0
124,6.202211,152.928,2210.576,2363.504,0
125,6.251556,136.896,1555.920,1692.816,0
126,6.302027,208.144,2026.784,2234.928,0
127,6.351856,166.976,1855.680,2022.656,0
128,6.402630,149.104,2630.256,2779.360,0
129,6.452612,135.664,2612.000,2747.664,0
130,6.501649,181.200,1648.800,1830.000,0
131,6.552865,134.400,2865.280,2999.680,0
132,6.602870,150.288,2870.144,3020.432,0
133,6.652807,243.120,2807.072,3050.192,0
134,6.702877,244.880,2876.640,3121.520,0
135,6.752548,141.072,2548.336,2689.408,0
136,6.802051,175.632,2051.056,2226.688,0
137,6.852570,146.032,2569.616,2715.648,0
138,6.903049,206.832,3048.912,3255.744,0
139,6.951872,143.664,1871.632,2015.296,0
140,7.002830,268.176,2830.288,3098.464,0
141,7.052890,137.504,2889.552,3027.056,0
142,7.103327,142.848,3326.576,3469.424,0
143,7.151893,134.912,1893.408,2028.320,0
144,7.201627,197.488,1627.040,1824.528,0
145,7.251657,146.128,1656.592,1802.720,0
146,7.302895,191.456,2894.624,3086.080,0
147,7.352795,148.000,2795.120,2943.120,0
148,7.402942,162.048,2941.696,3103.744,0
149,7.453550,224.192,3550.176,3774.368,0
150,7.503065,154.368,3064.848,3219.216,0
151,7.552578,135.536,2578.208,2713.744,0
152,7.602914,145.344,2913.744,3059.088,0
153,7.651818,133.712,1817.792,1951.504,0
154,7.704028,148.416,4027.648,4176.064,0
155,7.751677,161.488,1676.752,1838.240,0
156,7.803185,173.696,3185.072,3358.768,0
157,7.851831,160.368,1830.832,1991.200,0
158,7.902092,227.600,2091.680,2319.280,0
159,7.951877,145.968,1877.056,2023.024,0
160,8.001638,180.896,1638.128,1819.024,0
161,8.052796,210.288,2795.504,3005.792,0
162,8.102839,259.936,2838.880,3098.816,0
163,8.152874,164.000,2874.000,3038.000,0
164,8.202779,193.024,2778.928,2971.952,0
165,8.252877,344.880,2877.376,3222.256,0
166,8.301856,170.640,1855.824,2026.464,0
167,8.352845,237.248,2845.248,3082.496,0
168,8.401854,139.680,1853.840,1993.520,0
169,8.453008,173.488,3007.744,3181.232,0
170,8.501604,164.592,1604.496,1769.088,0
171,8.551596,214.176,1595.856,1810.032,0
172,8.603004,160.048,3003.936,3163.984,0
173,8.652947,141.296,2947.152,3088.448,0
174,8.703047,159.648,3047.312,3206.960,0
175,8.752227,304.640,2227.152,2531.792,0
176,8.801984,145.776,1983.936,2129.712,0
177,8.852060,134.176,2060.000,2194.176,0
178,8.901970,194.752,1970.336,2165.088,0
179,8.951955,151.696,1954.896,2106.592,0
180,9.002098,190.832,2098.304,2289.136,0
181,9.052012,166.176,2011.760,2177.936,0
182,9.102135,133.904,2134.560,2268.464,0
183,9.151821,186.064,1820.688,2006.752,0
184,9.202266,148.704,2266.432,2415.136,0
185,9.251376,228.944,1375.792,1604.736,0
186,9.303080,133.408,3080.480,3213.888,0
187,9.351370,220.528,1369.888,1590.416,0
188,9.402000,135.616,1999.824,2135.440,0
189,9.451512,176.864,1512.272,1689.136,0
190,9.501943,179.344,1942.832,2122.176,0
191,9.551824,211.456,1824.400,2035.856,0
192,9.602308,137.648,2307.536,2445.184,0
193,9.652215,1198.960,2214.800,3413.760,0
194,9.702075,138.544,2074.864,2213.408,0
195,9.751905,162.352,1904.816,2067.168,0
196,9.802415,196.912,2414.720,2611.632,0
197,9.852322,171.408,2321.936,2493.344,0
198,9.902036,137.072,2036.016,2173.088,0
199,9.951942,144.992,1942.240,2087.232,0
200,10.002089,134.960,2089.184,2224.144,0
201,10.051866,243.392,1866.368,2109.760,0
202,10.102079,136.768,2078.688,2215.456,0
203,10.151177,181.072,1177.472,1358.544,0
204,10.202173,135.552,2172.928,2308.480,0
205,10.251795,212.384,1795.200,2007.584,0
206,10.302194,202.832,2194.128,2396.960,0
207,10.352186,1195.216,2186.240,3381.456,0
208,10.401957,241.904,1956.880,2198.784,0
209,10.451935,201.632,1934.672,2136.304,0
210,10.502141,192.576,2141.456,2334.032,0
211,10.551862,160.416,1862.160,2022.576,0
212,10.601906,225.920,1905.728,2131.648,0
213,10.652173,219.456,2172.928,2392.384,0
214,10.701967,145.056,1966.608,2111.664,0
215,10.751741,165.488,1740.848,1906.336,0
216,10.802065,164.944,2065.168,2230.112,0
217,10.851898,164.464,1897.968,2062.432,0
218,10.901964,179.664,1964.176,2143.840,0
219,10.951771,155.904,1770.544,1926.448,0
220,11.002326,136.560,2326.352,2462.912,0
221,11.052160,900.160,2159.904,3060.064,0
222,11.101810,321.728,1809.616,2131.344,0
223,11.151806,206.128,1805.776,2011.904,0
224,11.201942,188.160,1941.888,2130.048,0
225,11.251808,151.488,1808.496,1959.984,0
226,11.302069,135.248,2068.896,2204.144,0
227,11.352062,1180.864,2062.416,3243.280,0
228,11.402114,156.560,2113.632,2270.192,0
229,11.452156,220.544,2156.096,2376.640,0
230,11.502072,135.408,2072.336,2207.744,0
231,11.551863,142.224,1863.248,2005.472,0
232,11.602331,178.416,2330.720,2509.136,0
233,11.652128,245.920,2128.416,2374.336,0
234,11.702053,149.904,2052.512,2202.416,0
235,11.752256,191.696,2256.080,2447.776,0
236,11.802107,138.288,2107.264,2245.552,0
237,11.852052,1206.192,2051.808,3258.000,0
238,11.902189,184.720,2188.560,2373.280,0
239,11.951354,214.896,1354.096,1568.992,0
240,12.001959,183.824,1958.896,2142.720,0
241,12.052113,1003.264,2112.768,3116.032,0
242,12.101904,219.888,1904.048,2123.936,0
243,12.151437,239.120,1437.248,1676.368,0
244,12.203062,211.920,3061.520,3273.440,0
245,12.251812,193.904,1812.016,2005.920,0
246,12.302113,177.232,2113.040,2290.272,0
247,12.351380,191.648,1380.224,1571.872,0
248,12.402879,169.392,2878.896,3048.288,0
249,12.451817,202.800,1816.880,2019.680,0
250,12.502081,144.608,2080.672,2225.280,0
251,12.551332,195.616,1332.352,1527.968,0
252,12.601395,250.928,1394.976,1645.904,0
253,12.652000,253.744,2000.000,2253.744,0
254,12.702149,172.576,2148.880,2321.456,0
255,12.751320,143.216,1320.464,1463.680,0
256,12.802117,137.680,2117.360,2255.040,0
257,12.851923,207.216,1923.440,2130.656,0
258,12.901937,135.888,1937.136,2073.024,0
259,12.951984,1161.696,1984.240,3145.936,0
260,13.001298,146.416,1298.496,1444.912,0
261,13.051341,150.528,1340.672,1491.200,0
262,13.101809,184.976,1808.512,1993.488,0
263,13.151954,152.672,1954.192,2106.864,0
264,13.202045,159.456,2045.088,2204.544,0
265,13.251994,1182.160,1994.288,3176.448,0
266,13.301939,145.984,1939.264,2085.248,0
267,13.351931,157.632,1931.104,2088.736,0
268,13.401960,146.608,1959.888,2106.496,0
269,13.451813,221.568,1813.488,2035.056,0
270,13.502101,235.744,2101.104,2336.848,0
271,13.551936,198.704,1935.504,2134.208,0
272,13.602110,136.128,2110.128,2246.256,0
273,13.651780,173.584,1780.352,1953.936,0
274,13.702095,154.192,2095.040,2249.232,0
275,13.751872,177.728,1871.760,2049.488,0
276,13.802150,181.440,2149.952,2331.392,0
277,13.851449,279.824,1448.992,1728.816,0
278,13.903017,139.344,3017.248,3156.592,0
279,13.952143,1251.504,2142.544,3394.048,0
280,14.001861,231.760,1860.608,2092.368,0
281,14.052147,738.080,2147.072,2885.152,0
282,14.102344,136.192,2343.760,2479.952,0
283,14.152083,1438.048,2082.640,3520.688,0
284,14.201326,355.200,1326.240,1681.440,0
285,14.252193,1047.584,2193.472,3241.056,0
286,14.302093,147.440,2092.656,2240.096,0
287,14.351811,184.128,1810.592,1994.720,0
288,14.401948,160.624,1947.616,2108.240,0
289,14.452067,1352.592,2067.008,3419.600,0
290,14.502386,213.840,2386.432,2600.272,0
291,14.551817,182.784,1817.312,2000.096,0
292,14.602059,154.800,2059.264,2214.064,0
293,14.652178,200.592,2178.240,2378.832,0
294,14.701937,160.304,1937.312,2097.616,0
295,14.752179,1198.448,2178.960,3377.408,0
296,14.801884,173.936,1883.904,2057.840,0
297,14.853651,295.552,3651.104,3946.656,0
