========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0  98012  15404  35760    0    0    13    37  387  442 68 31  1  0  0
16  0      0  98012  15404  35764    0    0     0     0  823  950 77 23  0  0  0
14  3      0  98012  15404  35764    0    0     0     0  880 1051 69 31  0  0  0
17  0      0  98012  15404  35764    0    0     0     0  866 1031 73 27  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  846 1004 73 27  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  802  941 79 21  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  806  911 80 20  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  827  998 76 24  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  834  978 73 27  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  846  971 76 24  0  0  0
17  0      0  98012  15404  35764    0    0     0     0  816  960 76 24  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  830  995 79 21  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  862 1032 71 29  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  811  932 78 22  0  0  0
16  0      0  98012  15404  35764    0    0     0     0  818  964 78 22  0  0  0
18  1      0  98012  15404  35764    0    0     0     0  757  806 66 34  0  0  0
17  0      0  98012  15404  35764    0    0     0     0  620  507 41 59  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 187.854
Min: 133.392
Max: 1539.600
50th percentile: 169.968
95th percentile: 264.336
99th percentile: 353.200
99.9th percentile: 1539.600
Jitter (μs):
Mean: 1802.173
Min: 1524.400
Max: 4277.872
Response Time (μs):
Mean: 1990.027
Min: 1682.176
Max: 4524.912
50th percentile: 1926.112
95th percentile: 2372.896
99th percentile: 3923.088
99.9th percentile: 4524.912
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051991,179.440,1990.768,2170.208,0
2,0.103167,236.480,3166.848,3403.328,0
3,0.152159,188.864,2158.720,2347.584,0
4,0.201729,199.280,1728.944,1928.224,0
5,0.251892,161.856,1892.064,2053.920,0
6,0.301655,135.264,1654.832,1790.096,0
7,0.351847,136.608,1847.264,1983.872,0
8,0.401824,206.576,1823.504,2030.080,0
9,0.451667,139.360,1667.328,1806.688,0
10,0.501664,223.792,1663.632,1887.424,0
11,0.551782,160.736,1782.256,1942.992,0
12,0.601875,219.776,1875.312,2095.088,0
13,0.651785,220.016,1785.456,2005.472,0
14,0.701876,190.576,1875.728,2066.304,0
15,0.754278,247.040,4277.872,4524.912,0
16,0.801646,134.832,1645.984,1780.816,0
17,0.851851,137.376,1851.200,1988.576,0
18,0.901874,198.864,1873.712,2072.576,0
19,0.951792,180.720,1792.272,1972.992,0
20,1.001609,240.656,1608.608,1849.264,0
21,1.051684,160.736,1684.144,1844.880,0
22,1.101814,144.784,1814.352,1959.136,0
23,1.151788,178.096,1788.400,1966.496,0
24,1.201575,159.888,1575.248,1735.136,0
25,1.251886,168.336,1885.888,2054.224,0
26,1.301646,208.192,1646.416,1854.608,0
27,1.351645,133.904,1645.264,1779.168,0
28,1.401608,135.648,1608.464,1744.112,0
29,1.452100,256.352,2099.792,2356.144,0
30,1.501767,177.616,1766.864,1944.480,0
31,1.551903,189.632,1902.544,2092.176,0
32,1.601877,138.512,1877.328,2015.840,0
33,1.651785,140.192,1784.816,1925.008,0
34,1.701783,146.320,1782.880,1929.200,0
35,1.751677,142.160,1677.376,1819.536,0
36,1.801664,163.680,1663.648,1827.328,0
37,1.851865,144.224,1865.056,2009.280,0
38,1.901906,150.368,1906.144,2056.512,0
39,1.951551,137.472,1551.456,1688.928,0
40,2.001600,158.448,1599.600,1758.048,0
41,2.051824,203.792,1823.872,2027.664,0
42,2.101785,142.544,1784.992,1927.536,0
43,2.152147,239.104,2147.424,2386.528,0
44,2.203015,162.928,3014.832,3177.760,0
45,2.251791,181.328,1791.152,1972.480,0
46,2.301575,173.312,1575.456,1748.768,0
47,2.351632,177.120,1632.432,1809.552,0
48,2.401572,169.600,1572.400,1742.000,0
49,2.451799,170.224,1799.456,1969.680,0
50,2.501677,214.608,1676.544,1891.152,0
51,2.551931,254.400,1930.848,2185.248,0
52,2.601880,183.168,1880.320,2063.488,0
53,2.651579,289.520,1578.624,1868.144,0
54,2.701661,146.496,1661.136,1807.632,0
55,2.751802,192.000,1801.616,1993.616,0
56,2.801900,190.784,1900.112,2090.896,0
57,2.852786,1137.216,2785.872,3923.088,0
58,2.901757,230.496,1757.120,1987.616,0
59,2.951894,215.456,1893.984,2109.440,0
60,3.001946,260.480,1946.144,2206.624,0
61,3.051860,146.672,1859.552,2006.224,0
62,3.101831,219.168,1830.816,2049.984,0
63,3.151602,161.360,1602.160,1763.520,0
64,3.201858,186.720,1858.128,2044.848,0
65,3.251748,169.504,1747.520,1917.024,0
66,3.301727,195.968,1727.456,1923.424,0
67,3.351673,169.936,1672.768,1842.704,0
68,3.401606,134.896,1606.032,1740.928,0
69,3.451664,171.760,1664.352,1836.112,0
70,3.501634,187.088,1634.128,1821.216,0
71,3.551835,166.336,1835.440,2001.776,0
72,3.601879,212.112,1879.296,2091.408,0
73,3.651902,169.344,1901.952,2071.296,0
74,3.701779,312.752,1779.296,2092.048,0
75,3.752633,135.104,2632.768,2767.872,0
76,3.801670,268.960,1669.632,1938.592,0
77,3.851933,159.488,1933.024,2092.512,0
78,3.902038,202.320,2038.496,2240.816,0
79,3.952007,168.704,2006.560,2175.264,0
80,4.001940,195.680,1939.840,2135.520,0
81,4.051628,181.120,1628.096,1809.216,0
82,4.101600,137.888,1599.952,1737.840,0
83,4.151703,152.592,1702.784,1855.376,0
84,4.201803,138.128,1802.768,1940.896,0
85,4.252046,274.800,2046.192,2320.992,0
86,4.302804,149.584,2803.808,2953.392,0
87,4.351748,150.928,1748.160,1899.088,0
88,4.401611,159.808,1610.560,1770.368,0
89,4.451850,143.168,1850.480,1993.648,0
90,4.501683,189.776,1683.200,1872.976,0
91,4.551749,157.504,1749.344,1906.848,0
92,4.601638,144.768,1637.808,1782.576,0
93,4.651638,172.896,1637.600,1810.496,0
94,4.701937,212.080,1937.072,2149.152,0
95,4.751623,197.296,1622.976,1820.272,0
96,4.801824,165.456,1824.144,1989.600,0
97,4.852073,135.712,2073.072,2208.784,0
98,4.902992,186.944,2992.496,3179.440,0
99,4.951737,157.120,1736.976,1894.096,0
100,5.001814,155.840,1814.016,1969.856,0
101,5.051883,224.624,1883.424,2108.048,0
102,5.101602,170.064,1601.872,1771.936,0
103,5.152069,245.696,2068.976,2314.672,0
104,5.201640,145.296,1640.000,1785.296,0
105,5.251667,162.576,1666.736,1829.312,0
106,5.301842,224.112,1842.208,2066.320,0
107,5.351818,195.904,1818.096,2014.000,0
108,5.401886,201.136,1885.952,2087.088,0
109,5.452535,156.272,2535.184,2691.456,0
110,5.501559,155.536,1559.216,1714.752,0
111,5.551657,200.272,1656.608,1856.880,0
112,5.601661,264.336,1661.200,1925.536,0
113,5.651620,199.568,1620.000,1819.568,0
114,5.701766,159.264,1765.616,1924.880,0
115,5.751772,145.568,1772.256,1917.824,0
116,5.801547,156.000,1546.912,1702.912,0
117,5.851735,188.768,1734.912,1923.680,0
118,5.901575,185.488,1574.992,1760.480,0
119,5.952064,245.008,2063.664,2308.672,0
120,6.001756,303.232,1756.160,2059.392,0
121,6.051731,169.024,1730.512,1899.536,0
122,6.101891,177.888,1890.976,2068.864,0
123,6.151664,173.584,1663.968,1837.552,0
124,6.201584,158.656,1584.048,1742.704,0
125,6.251734,144.640,1734.000,1878.640,0
126,6.301817,160.784,1816.784,1977.568,0
127,6.351796,146.592,1795.952,1942.544,0
128,6.401849,206.000,1849.280,2055.280,0
129,6.451776,146.496,1775.856,1922.352,0
130,6.501628,135.120,1628.096,1763.216,0
131,6.551654,196.032,1653.760,1849.792,0
132,6.601960,219.568,1959.792,2179.360,0
133,6.651744,138.448,1744.432,1882.880,0
134,6.701724,191.664,1724.112,1915.776,0
135,6.751697,169.184,1697.152,1866.336,0
136,6.801764,136.688,1764.160,1900.848,0
137,6.851554,184.416,1554.128,1738.544,0
138,6.901563,137.248,1562.944,1700.192,0
139,6.951795,133.744,1794.816,1928.560,0
140,7.001801,308.688,1800.880,2109.568,0
141,7.051620,135.392,1619.696,1755.088,0
142,7.101530,208.096,1529.520,1737.616,0
143,7.151760,196.576,1759.856,1956.432,0
144,7.201603,145.936,1602.816,1748.752,0
145,7.251714,170.048,1714.016,1884.064,0
146,7.301593,164.848,1593.024,1757.872,0
147,7.351772,228.928,1772.448,2001.376,0
148,7.401778,149.328,1777.568,1926.896,0
149,7.451875,160.240,1874.960,2035.200,0
150,7.501924,208.112,1923.760,2131.872,0
151,7.551679,171.584,1679.152,1850.736,0
152,7.601705,220.912,1705.200,1926.112,0
153,7.651677,180.384,1676.592,1856.976,0
154,7.701777,155.232,1777.040,1932.272,0
155,7.751970,161.152,1969.504,2130.656,0
156,7.801583,146.240,1582.912,1729.152,0
157,7.851968,169.968,1967.808,2137.776,0
158,7.901591,162.368,1591.024,1753.392,0
159,7.951594,138.112,1593.584,1731.696,0
160,8.001782,162.816,1781.760,1944.576,0
161,8.051777,147.328,1776.736,1924.064,0
162,8.101581,153.312,1581.008,1734.320,0
163,8.151764,160.512,1764.240,1924.752,0
164,8.201579,157.856,1578.880,1736.736,0
165,8.251743,134.912,1742.928,1877.840,0
166,8.301675,167.968,1674.512,1842.480,0
167,8.351976,228.016,1976.352,2204.368,0
168,8.402929,175.792,2928.864,3104.656,0
169,8.451769,160.976,1768.912,1929.888,0
170,8.501864,200.576,1863.904,2064.480,0
171,8.551667,167.376,1667.184,1834.560,0
172,8.601898,178.048,1897.792,2075.840,0
173,8.651636,158.928,1635.664,1794.592,0
174,8.701813,171.280,1812.800,1984.080,0
175,8.751608,147.728,1607.712,1755.440,0
176,8.801866,200.160,1865.520,2065.680,0
177,8.851581,173.040,1580.720,1753.760,0
178,8.901884,201.616,1884.256,2085.872,0
179,8.951858,193.840,1857.536,2051.376,0
180,9.001575,152.128,1575.456,1727.584,0
181,9.051944,195.040,1943.648,2138.688,0
182,9.101588,151.904,1588.112,1740.016,0
183,9.151670,242.368,1669.904,1912.272,0
184,9.201599,135.264,1598.672,1733.936,0
185,9.251924,191.920,1924.192,2116.112,0
186,9.301671,154.272,1670.544,1824.816,0
187,9.351676,171.456,1675.552,1847.008,0
188,9.401547,135.520,1546.656,1682.176,0
189,9.451668,144.304,1668.432,1812.736,0
190,9.501580,168.832,1579.712,1748.544,0
191,9.551874,209.168,1873.984,2083.152,0
192,9.601672,294.544,1672.096,1966.640,0
193,9.651656,135.424,1655.728,1791.152,0
194,9.701613,168.480,1612.864,1781.344,0
195,9.751640,133.536,1639.984,1773.520,0
196,9.801601,134.848,1600.816,1735.664,0
197,9.851602,139.040,1601.712,1740.752,0
198,9.901633,156.336,1633.232,1789.568,0
199,9.951839,223.936,1839.216,2063.152,0
200,10.001735,257.888,1735.328,1993.216,0
201,10.051590,159.408,1590.464,1749.872,0
202,10.101549,168.816,1548.560,1717.376,0
203,10.151831,133.392,1831.008,1964.400,0
204,10.201551,170.816,1550.672,1721.488,0
205,10.251644,142.880,1644.400,1787.280,0
206,10.301577,152.192,1576.768,1728.960,0
207,10.351636,134.288,1636.224,1770.512,0
208,10.402070,223.120,2069.856,2292.976,0
209,10.451736,138.000,1736.336,1874.336,0
210,10.502081,292.352,2080.544,2372.896,0
211,10.551699,195.136,1698.928,1894.064,0
212,10.601744,188.368,1743.936,1932.304,0
213,10.651789,145.264,1788.720,1933.984,0
214,10.701985,177.984,1984.992,2162.976,0
215,10.752180,207.248,2180.016,2387.264,0
216,10.803642,163.824,3642.256,3806.080,0
217,10.851880,134.304,1879.824,2014.128,0
218,10.902014,173.824,2014.448,2188.272,0
219,10.951722,189.376,1722.464,1911.840,0
220,11.001639,244.208,1639.456,1883.664,0
221,11.051824,198.672,1824.016,2022.688,0
222,11.101538,207.616,1537.552,1745.168,0
223,11.151653,133.664,1653.472,1787.136,0
224,11.201585,135.840,1584.912,1720.752,0
225,11.251663,137.264,1662.624,1799.888,0
226,11.302000,317.968,2000.368,2318.336,0
227,11.351662,210.848,1662.096,1872.944,0
228,11.401578,158.416,1578.272,1736.688,0
229,11.451733,234.624,1732.640,1967.264,0
230,11.502052,207.984,2051.648,2259.632,0
231,11.551780,143.952,1779.904,1923.856,0
232,11.601768,197.664,1768.480,1966.144,0
233,11.651996,223.472,1996.080,2219.552,0
234,11.701805,144.016,1804.736,1948.752,0
235,11.751662,167.728,1661.808,1829.536,0
236,11.801912,193.280,1912.064,2105.344,0
237,11.851665,163.776,1665.248,1829.024,0
238,11.901870,190.864,1870.224,2061.088,0
239,11.951604,166.976,1603.936,1770.912,0
240,12.001595,134.336,1594.880,1729.216,0
241,12.051749,134.192,1749.264,1883.456,0
242,12.101559,165.360,1558.960,1724.320,0
243,12.151643,184.320,1643.392,1827.712,0
244,12.201772,174.176,1771.728,1945.904,0
245,12.251586,168.688,1585.792,1754.480,0
246,12.301535,170.496,1534.704,1705.200,0
247,12.351812,134.032,1812.000,1946.032,0
248,12.401719,281.184,1718.848,2000.032,0
249,12.451905,190.048,1904.544,2094.592,0
250,12.501524,186.816,1524.400,1711.216,0
251,12.551582,165.968,1582.112,1748.080,0
252,12.601890,195.472,1890.176,2085.648,0
253,12.652892,1539.600,2892.144,4431.744,0
254,12.701943,223.616,1943.216,2166.832,0
255,12.751923,235.536,1923.328,2158.864,0
256,12.801797,152.912,1797.056,1949.968,0
257,12.851637,133.808,1637.040,1770.848,0
258,12.901610,157.760,1610.384,1768.144,0
259,12.951818,134.144,1817.904,1952.048,0
260,13.001598,144.992,1598.304,1743.296,0
261,13.051915,177.840,1915.024,2092.864,0
262,13.101722,224.816,1721.968,1946.784,0
263,13.151669,190.416,1669.200,1859.616,0
264,13.201725,218.112,1725.440,1943.552,0
265,13.251661,141.360,1661.024,1802.384,0
266,13.301605,138.752,1605.072,1743.824,0
267,13.351873,184.384,1872.672,2057.056,0
268,13.401824,248.368,1824.160,2072.528,0
269,13.451629,136.448,1629.168,1765.616,0
270,13.501849,230.480,1848.576,2079.056,0
271,13.551679,167.312,1678.896,1846.208,0
272,13.601726,227.440,1726.400,1953.840,0
273,13.651927,278.752,1926.576,2205.328,0
274,13.701704,239.744,1703.680,1943.424,0
275,13.751812,133.552,1811.520,1945.072,0
276,13.802023,145.376,2023.280,2168.656,0
277,13.851668,139.568,1667.536,1807.104,0
278,13.901599,146.016,1598.816,1744.832,0
279,13.951740,160.624,1740.144,1900.768,0
280,14.001655,258.512,1654.960,1913.472,0
281,14.051663,166.752,1663.088,1829.840,0
282,14.101757,139.744,1757.408,1897.152,0
283,14.151944,223.760,1944.240,2168.000,0
284,14.201939,204.928,1939.264,2144.192,0
285,14.251603,176.304,1602.560,1778.864,0
286,14.301760,205.936,1759.744,1965.680,0
287,14.351671,185.008,1671.088,1856.096,0
288,14.401637,181.680,1637.232,1818.912,0
289,14.451735,160.768,1735.152,1895.920,0
290,14.501749,222.032,1749.328,1971.360,0
291,14.551802,133.728,1802.176,1935.904,0
292,14.601643,134.048,1643.136,1777.184,0
293,14.651971,163.472,1970.912,2134.384,0
294,14.702306,353.200,2305.808,2659.008,0
295,14.751673,150.704,1672.880,1823.584,0
296,14.801773,240.944,1773.040,2013.984,0
297,14.851708,170.832,1707.920,1878.752,0
298,14.902069,204.336,2068.720,2273.056,0
299,14.951631,134.048,1630.816,1764.864,0
300,15.001607,159.696,1606.800,1766.496,0
===CSV_END===
Run #22 completed. Waiting for next START command...
Waiting for START command from li VM...
