========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0  97776  15660  35756    0    0    12    37  387  443 68 31  1  0  0
16  0      0  97776  15660  35768    0    0     0     0  835  992 73 27  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  826  959 77 23  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  821  970 74 26  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  808  969 78 22  0  0  0
17  0      0  97776  15660  35768    0    0     0     0  845 1015 75 25  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  836 1009 74 26  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  835  989 74 26  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  830  957 77 23  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  839  998 74 26  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  841  992 71 29  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  831  981 76 24  0  0  0
17  0      0  97776  15660  35768    0    0     0     0  823  983 77 23  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  855 1013 74 26  0  0  0
16  0      0  97776  15660  35768    0    0     0     0  782  883 79 21  0  0  0
18  1      0  97776  15660  35768    0    0     0     0  805  943 69 31  0  0  0
15  2      0  97776  15660  35768    0    0     0     0  609  522 47 53  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 3 (1.000%)
Execution Time (μs):
Mean: 381.054
Min: 133.568
Max: 3201.072
50th percentile: 174.624
95th percentile: 2001.584
99th percentile: 2220.352
99.9th percentile: 3201.072
Jitter (μs):
Mean: 1703.740
Min: 1147.200
Max: 5211.056
Response Time (μs):
Mean: 2084.793
Min: 1323.456
Max: 5512.928
50th percentile: 1771.520
95th percentile: 3619.296
99th percentile: 5046.384
99.9th percentile: 5512.928
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052477,155.408,2476.960,2632.368,0
2,0.102383,215.488,2382.672,2598.160,0
3,0.152305,136.288,2305.456,2441.744,0
4,0.202169,201.344,2169.088,2370.432,0
5,0.252484,145.264,2484.032,2629.296,0
6,0.302458,182.496,2458.416,2640.912,0
7,0.352229,220.848,2228.896,2449.744,0
8,0.403690,153.856,3689.696,3843.552,0
9,0.452235,169.040,2234.752,2403.792,0
10,0.501933,158.560,1932.992,2091.552,0
11,0.552158,217.376,2158.112,2375.488,0
12,0.602011,161.584,2011.072,2172.656,0
13,0.652801,222.816,2801.408,3024.224,0
14,0.704161,158.128,4160.640,4318.768,0
15,0.752006,305.664,2005.744,2311.408,0
16,0.802403,204.464,2402.560,2607.024,0
17,0.852615,176.336,2615.088,2791.424,0
18,0.902039,199.808,2038.848,2238.656,0
19,0.952255,298.880,2255.392,2554.272,0
20,1.002032,167.520,2031.792,2199.312,0
21,1.052051,204.400,2051.072,2255.472,0
22,1.102034,162.064,2033.648,2195.712,0
23,1.152308,252.272,2307.536,2559.808,0
24,1.202214,173.264,2213.808,2387.072,0
25,1.252179,195.456,2178.784,2374.240,0
26,1.302254,180.304,2254.336,2434.640,0
27,1.352397,240.912,2397.232,2638.144,0
28,1.402303,146.160,2302.832,2448.992,0
29,1.452091,249.968,2090.832,2340.800,0
30,1.504040,171.568,4040.160,4211.728,0
31,1.552044,179.952,2043.520,2223.472,0
32,1.602404,229.616,2404.480,2634.096,0
33,1.652155,202.304,2154.912,2357.216,0
34,1.702240,265.648,2240.400,2506.048,0
35,1.752039,266.192,2038.512,2304.704,0
36,1.802254,149.216,2254.000,2403.216,0
37,1.852260,153.520,2260.192,2413.712,0
38,1.901940,135.648,1940.016,2075.664,0
39,1.952210,234.912,2209.840,2444.752,0
40,2.002086,232.128,2086.464,2318.592,0
41,2.052474,134.448,2473.840,2608.288,0
42,2.102109,176.304,2108.800,2285.104,0
43,2.152534,135.776,2534.384,2670.160,0
44,2.202558,194.096,2558.032,2752.128,0
45,2.252447,169.600,2446.560,2616.160,0
46,2.301943,155.792,1942.560,2098.352,0
47,2.351335,135.744,1335.248,1470.992,0
48,2.402198,163.744,2198.416,2362.160,0
49,2.452406,139.712,2406.288,2546.000,0
50,2.502129,204.592,2128.528,2333.120,0
51,2.551425,144.512,1425.072,1569.584,0
52,2.602050,173.776,2050.000,2223.776,0
53,2.652560,229.376,2560.160,2789.536,0
54,2.705211,151.392,5211.056,5362.448,1
55,2.752265,137.664,2265.040,2402.704,0
