========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0  97148  16348  35780    0    0    10    37  388  445 68 31  1  0  0
16  0      0  97088  16348  35788    0    0     0     0  813  977 75 25  0  0  0
17  0      0  97088  16348  35788    0    0     0     0  817  913 77 23  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  807  946 74 26  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  843 1009 72 28  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  828  973 75 25  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  839 1012 75 25  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  813  953 77 23  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  837  972 73 27  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  836  986 75 25  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  845  987 74 26  0  0  0
17  0      0  97088  16348  35788    0    0     0     0  793  886 76 24  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  806  914 76 24  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  851 1018 72 28  0  0  0
16  0      0  97088  16348  35788    0    0     0     0  842 1017 71 29  0  0  0
16  1      0  97088  16348  35788    0    0     0     0  851  983 69 31  0  0  0
18  0      0  97088  16348  35788    0    0     0     0  619  513 37 63  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 324.685
Min: 127.824
Max: 1646.944
50th percentile: 178.048
95th percentile: 1271.600
99th percentile: 1440.704
99.9th percentile: 1646.944
Jitter (μs):
Mean: 1770.814
Min: 1189.104
Max: 3417.984
Response Time (μs):
Mean: 2095.499
Min: 1334.304
Max: 3793.568
50th percentile: 1963.072
95th percentile: 3093.168
99th percentile: 3671.632
99.9th percentile: 3793.568
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051772,169.520,1772.448,1941.968,0
2,0.101569,207.056,1569.440,1776.496,0
3,0.151905,129.328,1904.576,2033.904,0
4,0.201719,1098.720,1719.120,2817.840,0
5,0.251903,167.680,1903.200,2070.880,0
6,0.301411,152.448,1410.768,1563.216,0
7,0.351557,203.808,1556.704,1760.512,0
8,0.401677,1646.944,1676.640,3323.584,0
9,0.451881,273.808,1880.960,2154.768,0
10,0.501431,172.128,1430.640,1602.768,0
11,0.551980,141.888,1979.520,2121.408,0
12,0.601720,128.720,1720.432,1849.152,0
13,0.652075,183.344,2074.816,2258.160,0
14,0.701559,170.304,1559.168,1729.472,0
15,0.751660,142.880,1660.112,1802.992,0
16,0.801545,153.648,1544.608,1698.256,0
17,0.851898,185.824,1897.968,2083.792,0
18,0.901781,1400.864,1780.976,3181.840,0
19,0.951751,196.048,1750.608,1946.656,0
20,1.001716,1028.544,1716.304,2744.848,0
21,1.051761,131.120,1761.056,1892.176,0
22,1.103416,265.184,3415.568,3680.752,0
23,1.151840,198.240,1840.432,2038.672,0
24,1.201815,183.232,1814.640,1997.872,0
25,1.251846,168.496,1845.872,2014.368,0
26,1.301567,1286.688,1567.024,2853.712,0
27,1.351734,216.528,1733.664,1950.192,0
28,1.401621,141.744,1621.008,1762.752,0
29,1.451496,254.576,1496.272,1750.848,0
30,1.501438,206.320,1438.416,1644.736,0
31,1.551704,154.192,1704.000,1858.192,0
32,1.601440,206.864,1439.680,1646.544,0
33,1.651869,163.008,1869.408,2032.416,0
34,1.701864,166.080,1863.568,2029.648,0
35,1.751690,182.896,1689.696,1872.592,0
36,1.801858,224.384,1857.696,2082.080,0
37,1.851852,163.152,1851.600,2014.752,0
38,1.901696,138.416,1695.728,1834.144,0
39,1.951938,189.264,1938.192,2127.456,0
40,2.001402,161.728,1401.968,1563.696,0
41,2.051855,176.480,1855.168,2031.648,0
42,2.101657,153.632,1656.896,1810.528,0
43,2.151801,141.152,1801.392,1942.544,0
44,2.201596,1081.424,1595.984,2677.408,0
45,2.251640,151.712,1640.080,1791.792,0
46,2.301510,168.800,1509.792,1678.592,0
47,2.351739,134.048,1739.072,1873.120,0
48,2.401920,260.976,1919.712,2180.688,0
49,2.451703,129.376,1703.408,1832.784,0
50,2.503166,162.128,3166.128,3328.256,0
51,2.551634,137.584,1634.048,1771.632,0
52,2.601714,1080.464,1713.936,2794.400,0
53,2.651669,226.864,1668.624,1895.488,0
54,2.701437,238.832,1437.264,1676.096,0
55,2.751943,129.584,1943.088,2072.672,0
56,2.801832,1280.800,1832.032,3112.832,0
57,2.851840,161.984,1840.240,2002.224,0
58,2.901528,166.832,1528.240,1695.072,0
59,2.951693,228.240,1692.864,1921.104,0
60,3.002987,322.400,2987.280,3309.680,0
61,3.052025,221.120,2025.104,2246.224,0
62,3.101860,256.080,1859.824,2115.904,0
63,3.151702,142.496,1702.400,1844.896,0
64,3.201470,179.152,1470.336,1649.488,0
65,3.251676,183.328,1675.776,1859.104,0
66,3.302008,173.856,2007.840,2181.696,0
67,3.351749,172.288,1748.592,1920.880,0
68,3.401505,161.584,1505.184,1666.768,0
69,3.451580,137.632,1579.536,1717.168,0
70,3.501548,159.536,1547.776,1707.312,0
71,3.551924,207.744,1923.808,2131.552,0
72,3.601519,153.920,1518.800,1672.720,0
73,3.651772,171.664,1771.840,1943.504,0
74,3.701510,165.648,1510.064,1675.712,0
75,3.752009,127.824,2008.800,2136.624,0
76,3.801522,189.088,1522.080,1711.168,0
77,3.851840,170.192,1839.936,2010.128,0
78,3.901813,1507.008,1813.488,3320.496,0
79,3.951742,166.720,1741.728,1908.448,0
80,4.001845,293.488,1844.832,2138.320,0
81,4.051752,176.064,1751.728,1927.792,0
82,4.101689,1226.528,1688.512,2915.040,0
83,4.151726,131.088,1725.664,1856.752,0
84,4.201452,200.768,1451.856,1652.624,0
85,4.251681,146.064,1680.608,1826.672,0
86,4.301708,1172.064,1707.856,2879.920,0
87,4.351587,170.816,1587.200,1758.016,0
88,4.401507,170.128,1506.816,1676.944,0
89,4.451836,198.048,1836.080,2034.128,0
90,4.501425,192.752,1425.024,1617.776,0
91,4.551697,215.728,1697.184,1912.912,0
92,4.601496,163.072,1495.584,1658.656,0
93,4.651693,138.864,1692.960,1831.824,0
94,4.701462,201.248,1462.400,1663.648,0
95,4.751866,168.768,1866.192,2034.960,0
96,4.801796,424.656,1796.288,2220.944,0
97,4.851867,198.544,1866.624,2065.168,0
98,4.901798,257.664,1798.416,2056.080,0
99,4.951511,210.496,1510.720,1721.216,0
100,5.001445,201.760,1444.880,1646.640,0
101,5.051871,171.856,1871.008,2042.864,0
102,5.101715,1113.024,1714.976,2828.000,0
103,5.151828,197.904,1828.368,2026.272,0
104,5.201476,166.480,1475.792,1642.272,0
105,5.251821,161.136,1821.360,1982.496,0
106,5.303043,202.368,3043.104,3245.472,0
107,5.351993,187.728,1993.488,2181.216,0
108,5.401369,148.448,1369.248,1517.696,0
109,5.452704,229.376,2703.520,2932.896,0
110,5.501674,1218.336,1674.320,2892.656,0
111,5.551913,139.152,1913.200,2052.352,0
112,5.601669,152.048,1668.640,1820.688,0
113,5.651551,131.712,1550.880,1682.592,0
114,5.701799,1271.600,1799.200,3070.800,0
115,5.751844,129.728,1844.144,1973.872,0
116,5.801479,153.904,1479.008,1632.912,0
117,5.851766,189.488,1766.224,1955.712,0
118,5.901728,1022.608,1727.984,2750.592,0
119,5.952039,173.472,2039.344,2212.816,0
120,6.001777,995.712,1776.656,2772.368,0
121,6.051827,184.272,1827.120,2011.392,0
122,6.101674,132.736,1674.016,1806.752,0
123,6.152080,222.016,2079.824,2301.840,0
124,6.201798,951.056,1798.208,2749.264,0
125,6.251715,137.568,1715.488,1853.056,0
126,6.301885,162.720,1884.976,2047.696,0
127,6.351726,137.984,1725.728,1863.712,0
128,6.401676,1321.360,1676.496,2997.856,0
129,6.451884,157.728,1884.432,2042.160,0
130,6.501966,220.640,1966.144,2186.784,0
131,6.551774,300.336,1774.176,2074.512,0
132,6.601675,130.496,1674.832,1805.328,0
133,6.651755,129.264,1754.832,1884.096,0
134,6.701535,153.056,1535.184,1688.240,0
135,6.751799,184.816,1798.624,1983.440,0
136,6.803418,253.648,3417.984,3671.632,0
137,6.851680,142.000,1679.616,1821.616,0
138,6.901591,185.216,1590.576,1775.792,0
139,6.951533,219.312,1532.800,1752.112,0
140,7.001449,193.520,1449.280,1642.800,0
141,7.051822,157.104,1822.336,1979.440,0
142,7.102778,203.488,2777.872,2981.360,0
143,7.152064,210.896,2064.432,2275.328,0
144,7.201189,145.200,1189.104,1334.304,0
145,7.252703,144.032,2702.512,2846.544,0
146,7.301551,154.624,1551.072,1705.696,0
147,7.351977,185.312,1976.848,2162.160,0
148,7.401850,1064.976,1849.712,2914.688,0
149,7.451826,180.848,1825.776,2006.624,0
150,7.501430,162.624,1430.064,1592.688,0
151,7.551564,166.160,1563.808,1729.968,0
152,7.601567,758.080,1567.328,2325.408,0
153,7.651582,156.880,1581.744,1738.624,0
154,7.701751,1305.936,1750.736,3056.672,0
155,7.751706,173.520,1706.160,1879.680,0
156,7.801580,167.824,1580.384,1748.208,0
157,7.851950,213.136,1950.288,2163.424,0
158,7.901650,1000.736,1649.808,2650.544,0
159,7.951682,195.552,1682.432,1877.984,0
160,8.001841,207.984,1840.768,2048.752,0
161,8.051899,176.176,1898.704,2074.880,0
162,8.101649,160.240,1648.624,1808.864,0
163,8.152013,198.000,2012.656,2210.656,0
164,8.201829,219.408,1829.120,2048.528,0
165,8.251614,140.272,1613.904,1754.176,0
166,8.301607,1073.728,1606.976,2680.704,0
167,8.351756,181.824,1755.808,1937.632,0
168,8.401700,1245.040,1699.808,2944.848,0
169,8.451989,334.736,1988.992,2323.728,0
170,8.501583,1346.928,1583.488,2930.416,0
171,8.551801,138.688,1801.424,1940.112,0
172,8.601437,161.552,1436.816,1598.368,0
173,8.651492,180.624,1491.824,1672.448,0
174,8.701589,1397.184,1589.280,2986.464,0
175,8.751807,211.744,1807.216,2018.960,0
176,8.801662,1053.728,1661.808,2715.536,0
177,8.851837,165.008,1837.248,2002.256,0
178,8.901590,1372.128,1589.984,2962.112,0
179,8.951600,168.528,1599.872,1768.400,0
180,9.001525,154.496,1525.344,1679.840,0
181,9.051885,142.192,1885.152,2027.344,0
182,9.101812,1281.280,1811.888,3093.168,0
183,9.151781,181.648,1781.424,1963.072,0
184,9.201949,150.048,1948.864,2098.912,0
185,9.251576,133.712,1575.840,1709.552,0
186,9.301694,1141.152,1694.384,2835.536,0
187,9.351830,139.456,1829.664,1969.120,0
188,9.401900,213.040,1899.888,2112.928,0
189,9.451706,208.160,1705.936,1914.096,0
190,9.501789,952.432,1789.488,2741.920,0
191,9.551780,171.504,1779.872,1951.376,0
192,9.601677,155.504,1676.688,1832.192,0
193,9.651692,134.544,1692.144,1826.688,0
194,9.701730,256.240,1730.112,1986.352,0
195,9.751716,182.848,1715.552,1898.400,0
196,9.801705,128.480,1705.424,1833.904,0
197,9.852047,310.688,2047.376,2358.064,0
198,9.901842,153.888,1841.760,1995.648,0
199,9.951845,187.328,1845.088,2032.416,0
200,10.001899,193.984,1898.672,2092.656,0
201,10.051995,188.816,1995.456,2184.272,0
202,10.101887,201.072,1887.328,2088.400,0
203,10.152020,241.792,2020.192,2261.984,0
204,10.201682,1251.632,1681.968,2933.600,0
205,10.251513,238.688,1512.816,1751.504,0
206,10.301392,166.192,1392.288,1558.480,0
207,10.352732,294.656,2731.600,3026.256,0
208,10.401799,1440.704,1798.912,3239.616,0
209,10.451565,171.984,1564.848,1736.832,0
210,10.501799,1178.016,1798.864,2976.880,0
211,10.551589,155.760,1588.544,1744.304,0
212,10.601493,190.400,1492.688,1683.088,0
213,10.651664,132.720,1664.240,1796.960,0
214,10.701375,165.696,1374.880,1540.576,0
215,10.752859,177.856,2858.640,3036.496,0
216,10.801559,153.440,1558.960,1712.400,0
217,10.851842,193.520,1841.600,2035.120,0
218,10.901637,180.032,1636.528,1816.560,0
219,10.952195,197.472,2195.200,2392.672,0
220,11.001700,152.720,1699.568,1852.288,0
221,11.052162,149.744,2161.520,2311.264,0
222,11.101520,1096.816,1519.824,2616.640,0
223,11.151618,161.056,1617.824,1778.880,0
224,11.201514,167.760,1514.240,1682.000,0
225,11.251708,169.584,1708.112,1877.696,0
226,11.301498,174.384,1497.760,1672.144,0
227,11.351748,191.120,1747.968,1939.088,0
228,11.401549,1395.696,1548.544,2944.240,0
229,11.451650,130.016,1649.520,1779.536,0
230,11.501574,159.680,1574.432,1734.112,0
231,11.551501,228.320,1500.784,1729.104,0
232,11.601727,166.384,1727.376,1893.760,0
233,11.651946,141.744,1945.872,2087.616,0
234,11.701470,174.624,1470.400,1645.024,0
235,11.751826,176.736,1826.448,2003.184,0
236,11.803365,428.288,3365.280,3793.568,0
237,11.852024,251.360,2024.112,2275.472,0
238,11.901436,186.576,1435.856,1622.432,0
239,11.951836,280.288,1836.192,2116.480,0
240,12.001591,149.008,1590.944,1739.952,0
241,12.052198,131.664,2198.368,2330.032,0
242,12.101439,208.352,1438.848,1647.200,0
243,12.151700,151.504,1700.160,1851.664,0
244,12.201821,237.488,1821.344,2058.832,0
245,12.251750,141.072,1750.160,1891.232,0
246,12.301749,1063.952,1749.104,2813.056,0
247,12.352198,215.312,2198.336,2413.648,0
248,12.401453,236.864,1453.152,1690.016,0
249,12.451995,224.224,1994.896,2219.120,0
250,12.501564,178.048,1563.616,1741.664,0
251,12.551858,171.984,1857.696,2029.680,0
252,12.601643,160.480,1643.056,1803.536,0
253,12.651602,169.920,1601.680,1771.600,0
254,12.701555,212.016,1554.864,1766.880,0
255,12.751867,203.280,1866.576,2069.856,0
256,12.801508,156.160,1507.952,1664.112,0
257,12.851704,143.744,1704.112,1847.856,0
258,12.901625,920.208,1624.944,2545.152,0
259,12.951980,178.784,1979.872,2158.656,0
260,13.001594,159.952,1594.192,1754.144,0
261,13.051822,167.760,1821.888,1989.648,0
262,13.103161,260.016,3161.072,3421.088,0
263,13.151835,136.272,1834.672,1970.944,0
264,13.201835,960.656,1834.992,2795.648,0
265,13.251826,168.816,1826.464,1995.280,0
266,13.303161,340.864,3161.024,3501.888,0
267,13.351949,130.736,1948.720,2079.456,0
268,13.401559,184.880,1558.992,1743.872,0
269,13.451662,129.904,1661.760,1791.664,0
270,13.501425,172.704,1425.360,1598.064,0
271,13.551678,179.488,1677.856,1857.344,0
272,13.601449,172.624,1448.720,1621.344,0
273,13.651703,139.168,1703.360,1842.528,0
274,13.701648,160.864,1647.504,1808.368,0
275,13.752002,240.880,2001.968,2242.848,0
276,13.801581,138.304,1580.880,1719.184,0
277,13.851676,131.808,1676.384,1808.192,0
278,13.901978,226.192,1978.064,2204.256,0
279,13.951836,145.152,1835.968,1981.120,0
280,14.001492,169.904,1492.480,1662.384,0
281,14.051744,160.112,1744.048,1904.160,0
282,14.101603,140.432,1603.008,1743.440,0
283,14.151494,169.744,1493.744,1663.488,0
284,14.201574,1064.208,1574.464,2638.672,0
285,14.251892,188.432,1892.000,2080.432,0
286,14.301430,170.944,1430.320,1601.264,0
287,14.351509,187.040,1509.120,1696.160,0
288,14.401429,197.440,1428.720,1626.160,0
289,14.451717,163.904,1717.376,1881.280,0
290,14.501645,1078.912,1644.848,2723.760,0
291,14.551829,179.008,1829.184,2008.192,0
292,14.601710,1391.120,1710.432,3101.552,0
293,14.651805,166.480,1804.656,1971.136,0
294,14.701644,148.960,1644.288,1793.248,0
295,14.751812,129.920,1812.400,1942.320,0
296,14.801805,1259.920,1804.720,3064.640,0
297,14.851841,165.520,1841.152,2006.672,0
298,14.901537,154.224,1537.360,1691.584,0
299,14.951733,131.536,1733.488,1865.024,0
300,15.001622,159.840,1621.632,1781.472,0
===CSV_END===
Run #28 completed. Waiting for next START command...
Waiting for START command from li VM...
