========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0  92808  10832  35780    0    0    58    41  363  403 62 34  4  0  0
32  0      0  92628  10832  35780    0    0     0     0  799  957 74 26  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  811  973 72 27  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  860 1058 68 32  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  776  934 79 21  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  834 1020 70 31  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  930 1158 56 43  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  867 1055 65 35  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  768  921 79 20  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  835  994 67 33  0  0  0
33  0      0  92628  10832  35780    0    0     0     0  786  958 76 24  1  0  0
32  0      0  92628  10832  35780    0    0     0     0  789  966 76 24  0  0  0
34  0      0  92628  10832  35780    0    0     0     0  824  967 69 31  1  0  0
32  0      0  92628  10832  35780    0    0     0     0  793  957 75 24  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  765  922 79 21  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  856 1015 65 35  0  0  0
32  0      0  92628  10832  35780    0    0     0     0  600  488 50 50  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 280.697
Min: 153.728
Max: 1788.800
50th percentile: 228.464
95th percentile: 434.752
99th percentile: 1412.880
99.9th percentile: 1788.800
Jitter (μs):
Mean: 2117.402
Min: 1103.792
Max: 3593.920
Response Time (μs):
Mean: 2398.099
Min: 1271.920
Max: 3889.056
50th percentile: 2523.888
95th percentile: 3563.584
99th percentile: 3856.592
99.9th percentile: 3889.056
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052383,226.768,2382.992,2609.760,0
2,0.101384,258.928,1383.712,1642.640,0
3,0.152345,383.744,2344.544,2728.288,0
4,0.202497,210.848,2497.216,2708.064,0
5,0.252488,183.632,2487.952,2671.584,0
6,0.301349,1142.624,1349.296,2491.920,0
7,0.351761,317.392,1761.472,2078.864,0
8,0.401222,1788.800,1221.936,3010.736,0
9,0.452399,199.328,2398.528,2597.856,0
10,0.501396,272.976,1395.568,1668.544,0
11,0.552390,157.088,2390.208,2547.296,0
12,0.603479,342.352,3479.040,3821.392,0
13,0.652739,216.192,2739.456,2955.648,0
14,0.701516,218.496,1516.480,1734.976,0
15,0.751701,201.328,1700.800,1902.128,0
16,0.801538,215.040,1538.448,1753.488,0
17,0.852301,237.056,2301.344,2538.400,0
18,0.902204,156.656,2204.048,2360.704,0
19,0.951127,213.872,1127.184,1341.056,0
20,1.002741,206.464,2740.704,2947.168,0
21,1.052486,184.320,2485.520,2669.840,0
22,1.102810,159.488,2810.032,2969.520,0
23,1.152535,187.168,2534.672,2721.840,0
24,1.203129,229.824,3128.816,3358.640,0
25,1.251987,436.720,1986.896,2423.616,0
26,1.301362,1151.472,1361.792,2513.264,0
27,1.351730,305.120,1730.288,2035.408,0
28,1.401375,203.440,1375.232,1578.672,0
29,1.452163,219.840,2163.328,2383.168,0
30,1.502404,194.624,2404.384,2599.008,0
31,1.552534,227.728,2534.304,2762.032,0
32,1.601545,421.824,1544.768,1966.592,0
33,1.651764,387.296,1763.952,2151.248,0
34,1.702879,235.600,2879.472,3115.072,0
35,1.752473,202.832,2473.024,2675.856,0
36,1.801407,1172.592,1406.784,2579.376,0
37,1.851746,263.472,1746.144,2009.616,0
38,1.902619,246.176,2619.264,2865.440,0
39,1.952477,210.256,2477.328,2687.584,0
40,2.003479,240.144,3478.720,3718.864,0
41,2.052429,212.000,2429.264,2641.264,0
42,2.101372,247.504,1372.224,1619.728,0
43,2.151339,220.960,1339.280,1560.240,0
44,2.202585,214.544,2585.040,2799.584,0
45,2.251210,193.136,1210.432,1403.568,0
46,2.302968,162.256,2968.256,3130.512,0
47,2.351796,434.752,1796.304,2231.056,0
48,2.401524,319.040,1524.352,1843.392,0
49,2.452498,224.624,2497.808,2722.432,0
50,2.503344,301.024,3343.744,3644.768,0
51,2.552514,180.032,2513.600,2693.632,0
52,2.603526,282.160,3526.416,3808.576,0
53,2.652493,224.240,2493.168,2717.408,0
54,2.703434,226.560,3434.304,3660.864,0
55,2.752441,262.672,2440.672,2703.344,0
