========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0  92332  10900  35780    0    0    43    39  369  415 64 33  3  0  0
32  0      0  92332  10900  35780    0    0     0     0  823 1006 75 25  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  776  921 78 22  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  811  957 73 27  0  0  0
33  0      0  92332  10900  35780    0    0     0     0  785  947 76 24  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  803  966 74 26  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  801  936 72 28  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  794  931 74 26  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  785  897 76 24  0  0  0
33  0      0  92332  10900  35780    0    0     0     0  843  986 69 31  0  0  0
33  0      0  92332  10900  35780    0    0     0     0  807  988 74 26  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  782  957 76 24  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  820  945 70 30  0  0  0
33  0      0  92332  10900  35780    0    0     0     0  789  936 75 25  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  798  986 75 25  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  809  907 62 38  0  0  0
32  0      0  92332  10900  35780    0    0     0     0  606  555 46 54  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 225.445
Min: 153.360
Max: 1332.704
50th percentile: 206.464
95th percentile: 331.120
99th percentile: 467.808
99.9th percentile: 1332.704
Jitter (μs):
Mean: 2094.519
Min: 1423.472
Max: 4862.336
Response Time (μs):
Mean: 2319.964
Min: 1668.336
Max: 5135.680
50th percentile: 2170.688
95th percentile: 3174.032
99th percentile: 4069.200
99.9th percentile: 5135.680
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051585,176.672,1584.688,1761.360,0
2,0.101853,191.024,1853.168,2044.192,0
3,0.151943,182.272,1943.200,2125.472,0
4,0.201970,218.560,1969.504,2188.064,0
5,0.252768,303.136,2768.176,3071.312,0
6,0.301849,206.304,1848.848,2055.152,0
7,0.352857,227.728,2857.120,3084.848,0
8,0.401956,320.160,1955.504,2275.664,0
9,0.451635,162.224,1634.576,1796.800,0
10,0.501790,180.816,1790.080,1970.896,0
11,0.551423,284.464,1423.472,1707.936,0
12,0.601838,190.944,1838.016,2028.960,0
13,0.651829,260.640,1829.488,2090.128,0
14,0.701684,170.912,1684.384,1855.296,0
15,0.751504,196.720,1503.920,1700.640,0
16,0.801861,203.008,1860.928,2063.936,0
17,0.852014,160.512,2013.952,2174.464,0
18,0.902095,297.920,2094.608,2392.528,0
19,0.951842,207.248,1841.568,2048.816,0
20,1.001802,226.128,1802.320,2028.448,0
21,1.052780,190.160,2780.464,2970.624,0
22,1.101993,182.336,1993.008,2175.344,0
23,1.152566,196.464,2566.384,2762.848,0
24,1.201797,206.624,1797.056,2003.680,0
25,1.252512,159.568,2511.648,2671.216,0
26,1.301818,183.872,1817.648,2001.520,0
27,1.351560,191.296,1560.048,1751.344,0
28,1.402034,222.368,2033.568,2255.936,0
29,1.452492,155.920,2492.048,2647.968,0
30,1.501945,196.064,1945.312,2141.376,0
31,1.552483,155.888,2483.440,2639.328,0
32,1.601790,263.024,1790.016,2053.040,0
33,1.652487,154.800,2486.656,2641.456,0
34,1.701976,195.440,1976.272,2171.712,0
35,1.752501,155.040,2500.912,2655.952,0
36,1.801902,180.368,1902.496,2082.864,0
37,1.852535,163.824,2535.408,2699.232,0
38,1.901509,159.120,1509.216,1668.336,0
39,1.951877,243.408,1877.408,2120.816,0
40,2.002004,171.344,2004.192,2175.536,0
41,2.051559,205.920,1558.544,1764.464,0
42,2.101947,393.776,1946.688,2340.464,0
43,2.151890,257.728,1889.856,2147.584,0
44,2.201813,220.128,1812.528,2032.656,0
45,2.252729,165.376,2729.024,2894.400,0
46,2.301816,199.120,1816.016,2015.136,0
47,2.351870,194.448,1869.856,2064.304,0
48,2.401808,154.976,1808.448,1963.424,0
49,2.451710,219.424,1710.448,1929.872,0
50,2.501973,199.296,1973.408,2172.704,0
51,2.552902,254.432,2902.288,3156.720,0
52,2.601961,203.216,1961.168,2164.384,0
53,2.652862,247.552,2862.240,3109.792,0
54,2.702000,193.376,1999.680,2193.056,0
55,2.751858,189.424,1858.144,2047.568,0
56,2.802318,234.256,2317.520,2551.776,0
57,2.851479,190.848,1478.784,1669.632,0
58,2.902119,176.288,2119.040,2295.328,0
59,2.951623,163.984,1622.688,1786.672,0
60,3.001983,183.264,1982.816,2166.080,0
61,3.052600,176.624,2599.712,2776.336,0
62,3.101810,261.904,1809.568,2071.472,0
63,3.152905,239.056,2904.928,3143.984,0
64,3.202049,210.288,2048.736,2259.024,0
65,3.251513,217.952,1512.816,1730.768,0
66,3.301521,170.064,1521.248,1691.312,0
67,3.351857,199.536,1856.720,2056.256,0
68,3.402054,285.680,2053.824,2339.504,0
69,3.451836,331.120,1835.568,2166.688,0
70,3.502025,210.000,2025.168,2235.168,0
71,3.551615,237.680,1614.624,1852.304,0
72,3.601723,219.200,1722.720,1941.920,0
73,3.652508,167.568,2507.872,2675.440,0
74,3.701878,181.312,1878.496,2059.808,0
75,3.752632,190.176,2632.096,2822.272,0
76,3.801806,153.696,1806.368,1960.064,0
77,3.851707,156.704,1707.440,1864.144,0
78,3.902012,271.328,2012.208,2283.536,0
79,3.951852,195.408,1851.792,2047.200,0
80,4.001804,229.984,1804.496,2034.480,0
81,4.053694,264.976,3693.808,3958.784,0
82,4.102032,222.832,2032.048,2254.880,0
83,4.152041,310.944,2041.344,2352.288,0
84,4.201952,396.960,1952.032,2348.992,0
85,4.251909,224.832,1908.832,2133.664,0
86,4.301857,228.000,1857.248,2085.248,0
87,4.352596,366.288,2596.112,2962.400,0
88,4.402202,255.248,2202.192,2457.440,0
89,4.451991,271.888,1991.168,2263.056,0
90,4.501878,204.176,1878.496,2082.672,0
91,4.554030,326.912,4029.520,4356.432,0
92,4.602133,228.656,2133.136,2361.792,0
93,4.651800,189.008,1799.520,1988.528,0
94,4.701901,180.672,1901.024,2081.696,0
95,4.752562,230.656,2561.536,2792.192,0
96,4.801964,191.744,1964.368,2156.112,0
97,4.852517,219.712,2517.296,2737.008,0
98,4.901874,192.432,1874.256,2066.688,0
99,4.952831,312.304,2830.960,3143.264,0
100,5.001785,198.848,1785.344,1984.192,0
101,5.052508,180.256,2508.288,2688.544,0
102,5.101865,233.840,1864.848,2098.688,0
103,5.152590,155.072,2589.904,2744.976,0
