========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0  88720  14540  35840    0    0    18    36  375  429 67 31  1  0  0
34  0      0  88720  14540  35876    0    0     0     0  807  925 75 25  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  792  975 76 24  0  0  0
34  0      0  88720  14540  35876    0    0     0     0  846  985 69 31  0  0  0
33  0      0  88720  14540  35876    0    0     0     0  831  970 72 28  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  786  931 76 24  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  804  935 76 25  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  838  977 71 29  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  791  914 76 24  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  815  967 75 25  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  819  943 71 29  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  815  942 74 27  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  776  910 80 20  0  0  0
33  0      0  88720  14540  35876    0    0     0     0  792  898 75 25  0  0  0
33  0      0  88720  14540  35876    0    0     0     0  813  911 71 29  0  0  0
31  1      0  88720  14540  35876    0    0     0     0  723  781 72 28  0  0  0
32  0      0  88720  14540  35876    0    0     0     0  657  552 66 34  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 2 (0.667%)
Execution Time (μs):
Mean: 226.633
Min: 135.616
Max: 1556.800
50th percentile: 173.712
95th percentile: 360.880
99th percentile: 1397.376
99.9th percentile: 1556.800
Jitter (μs):
Mean: 1861.314
Min: 1015.216
Max: 9699.248
Response Time (μs):
Mean: 2087.947
Min: 1274.416
Max: 9845.072
50th percentile: 1715.296
95th percentile: 3803.824
99th percentile: 4861.552
99.9th percentile: 9845.072
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051474,141.952,1474.384,1616.336,0
2,0.101406,137.712,1406.496,1544.208,0
3,0.151704,160.304,1704.160,1864.464,0
4,0.203671,144.208,3670.656,3814.864,0
5,0.251729,303.952,1728.512,2032.464,0
6,0.301317,175.376,1316.608,1491.984,0
7,0.351505,171.776,1505.472,1677.248,0
8,0.401293,172.048,1292.512,1464.560,0
9,0.451296,143.232,1296.064,1439.296,0
10,0.501313,159.072,1312.720,1471.792,0
11,0.551616,188.736,1615.680,1804.416,0
12,0.603834,166.624,3833.968,4000.592,0
13,0.652473,230.464,2473.408,2703.872,0
14,0.701377,136.160,1376.752,1512.912,0
15,0.755342,139.216,5342.096,5481.312,1
16,0.802183,182.464,2182.704,2365.168,0
17,0.851692,178.560,1691.520,1870.080,0
18,0.902492,214.800,2492.496,2707.296,0
19,0.952421,498.656,2420.688,2919.344,0
20,1.001468,178.384,1467.856,1646.240,0
21,1.051736,185.104,1736.384,1921.488,0
22,1.102506,245.344,2505.792,2751.136,0
23,1.151504,168.720,1504.496,1673.216,0
24,1.203789,176.688,3789.200,3965.888,0
25,1.252410,153.280,2410.032,2563.312,0
26,1.301332,153.984,1331.824,1485.808,0
27,1.351476,203.360,1475.808,1679.168,0
28,1.401448,175.472,1447.824,1623.296,0
29,1.451226,185.488,1226.384,1411.872,0
30,1.502060,143.232,2059.664,2202.896,0
31,1.551605,340.112,1605.360,1945.472,0
32,1.602463,172.608,2463.296,2635.904,0
33,1.651522,172.800,1521.600,1694.400,0
34,1.701423,179.664,1423.120,1602.784,0
35,1.751494,227.584,1494.064,1721.648,0
36,1.802162,216.784,2161.920,2378.704,0
37,1.851700,360.880,1700.160,2061.040,0
38,1.901529,175.536,1529.488,1705.024,0
39,1.951506,187.648,1506.304,1693.952,0
40,2.001015,259.200,1015.216,1274.416,0
41,2.052195,1397.376,2195.488,3592.864,0
42,2.101633,175.264,1633.104,1808.368,0
43,2.151511,166.128,1510.768,1676.896,0
44,2.201427,179.312,1427.248,1606.560,0
45,2.251399,176.368,1399.376,1575.744,0
46,2.301383,149.856,1382.992,1532.848,0
47,2.351482,167.616,1482.336,1649.952,0
48,2.401510,196.064,1509.808,1705.872,0
49,2.451481,166.448,1480.752,1647.200,0
50,2.501413,137.424,1412.592,1550.016,0
51,2.551125,170.864,1124.864,1295.728,0
52,2.601303,164.432,1302.560,1466.992,0
53,2.651441,135.616,1441.280,1576.896,0
54,2.702050,142.112,2050.352,2192.464,0
55,2.752216,967.264,2215.920,3183.184,0
56,2.801881,168.448,1881.376,2049.824,0
57,2.851820,297.296,1819.776,2117.072,0
58,2.901467,206.448,1466.832,1673.280,0
59,2.951698,138.656,1697.984,1836.640,0
60,3.003534,209.024,3534.384,3743.408,0
61,3.052284,976.976,2284.160,3261.136,0
62,3.101464,200.400,1463.504,1663.904,0
63,3.151492,168.512,1492.176,1660.688,0
64,3.203395,137.744,3395.296,3533.040,0
65,3.252461,317.792,2461.344,2779.136,0
66,3.301329,136.192,1328.736,1464.928,0
67,3.351401,136.080,1401.264,1537.344,0
68,3.403491,140.400,3490.992,3631.392,0
69,3.451510,174.224,1510.256,1684.480,0
70,3.502435,208.640,2435.376,2644.016,0
71,3.551510,241.264,1510.160,1751.424,0
72,3.602120,137.152,2120.496,2257.648,0
73,3.651522,177.712,1522.352,1700.064,0
74,3.701477,172.976,1476.800,1649.776,0
75,3.752319,1208.000,2319.408,3527.408,0
76,3.801459,202.864,1458.864,1661.728,0
77,3.851414,144.256,1413.520,1557.776,0
78,3.901309,160.576,1309.440,1470.016,0
79,3.951524,181.664,1523.712,1705.376,0
80,4.001189,137.872,1189.056,1326.928,0
81,4.051215,163.872,1214.624,1378.496,0
82,4.101645,152.752,1645.008,1797.760,0
83,4.152345,1300.768,2345.456,3646.224,0
84,4.202312,148.816,2311.504,2460.320,0
85,4.251676,138.816,1676.048,1814.864,0
86,4.302605,237.072,2605.488,2842.560,0
87,4.351657,286.208,1657.392,1943.600,0
88,4.401989,262.144,1989.344,2251.488,0
89,4.452399,1445.312,2399.008,3844.320,0
90,4.501282,148.480,1282.112,1430.592,0
91,4.551380,181.520,1379.584,1561.104,0
92,4.601448,152.992,1448.000,1600.992,0
93,4.651305,146.256,1304.928,1451.184,0
94,4.701428,209.760,1428.192,1637.952,0
95,4.752292,1095.136,2291.584,3386.720,0
96,4.809699,145.824,9699.248,9845.072,1
97,4.851467,158.032,1466.912,1624.944,0
98,4.901517,162.592,1516.608,1679.200,0
99,4.951567,159.680,1566.880,1726.560,0
100,5.001392,175.088,1391.760,1566.848,0
101,5.051190,232.704,1190.448,1423.152,0
102,5.101303,185.792,1303.472,1489.264,0
103,5.151668,164.336,1668.256,1832.592,0
104,5.203650,178.928,3650.016,3828.944,0
105,5.253452,179.488,3452.224,3631.712,0
106,5.301327,144.784,1326.880,1471.664,0
107,5.351650,209.968,1649.632,1859.600,0
108,5.401437,224.288,1437.440,1661.728,0
109,5.451382,211.568,1381.936,1593.504,0
110,5.501310,137.792,1309.872,1447.664,0
111,5.551604,137.696,1603.520,1741.216,0
112,5.601377,151.760,1377.328,1529.088,0
113,5.651666,165.056,1665.984,1831.040,0
114,5.701582,138.864,1581.504,1720.368,0
115,5.751697,146.160,1696.528,1842.688,0
116,5.803559,137.104,3558.672,3695.776,0
117,5.851506,165.744,1505.744,1671.488,0
118,5.901743,146.496,1742.912,1889.408,0
119,5.951401,166.224,1401.360,1567.584,0
120,6.002420,319.312,2419.600,2738.912,0
121,6.052275,1556.800,2274.928,3831.728,0
122,6.101140,141.760,1140.000,1281.760,0
123,6.151707,165.088,1706.640,1871.728,0
124,6.203564,168.160,3564.304,3732.464,0
125,6.252313,1031.056,2313.040,3344.096,0
126,6.301686,178.976,1686.432,1865.408,0
127,6.352495,176.576,2495.104,2671.680,0
128,6.401632,190.432,1631.744,1822.176,0
129,6.451587,143.728,1587.456,1731.184,0
130,6.501428,135.952,1428.256,1564.208,0
131,6.551401,205.664,1401.136,1606.800,0
132,6.602410,141.952,2410.160,2552.112,0
133,6.651455,140.384,1454.560,1594.944,0
134,6.702190,179.312,2190.416,2369.728,0
135,6.752454,168.784,2454.176,2622.960,0
136,6.801416,169.984,1416.112,1586.096,0
137,6.852332,1209.472,2332.192,3541.664,0
138,6.901488,151.200,1487.696,1638.896,0
139,6.951308,173.712,1308.000,1481.712,0
140,7.003450,175.152,3449.872,3625.024,0
141,7.051667,243.504,1666.864,1910.368,0
142,7.102464,268.704,2463.648,2732.352,0
143,7.152331,1100.896,2330.800,3431.696,0
144,7.201140,148.336,1139.584,1287.920,0
145,7.251418,143.488,1417.696,1561.184,0
146,7.301470,172.816,1470.400,1643.216,0
147,7.351377,149.488,1376.752,1526.240,0
148,7.402018,149.808,2018.496,2168.304,0
149,7.451491,233.376,1490.896,1724.272,0
150,7.501471,149.088,1471.296,1620.384,0
151,7.551477,176.816,1476.736,1653.552,0
152,7.602123,139.536,2123.328,2262.864,0
153,7.651480,180.928,1479.888,1660.816,0
154,7.701725,137.328,1724.512,1861.840,0
155,7.751708,279.792,1707.920,1987.712,0
156,7.801319,139.856,1319.088,1458.944,0
157,7.851429,208.912,1429.088,1638.000,0
158,7.901457,181.632,1457.392,1639.024,0
159,7.951432,179.856,1431.872,1611.728,0
160,8.001405,137.328,1404.688,1542.016,0
161,8.051407,213.296,1406.800,1620.096,0
162,8.102044,175.568,2043.680,2219.248,0
163,8.151589,143.136,1589.472,1732.608,0
164,8.201472,158.000,1471.920,1629.920,0
165,8.251498,136.256,1498.208,1634.464,0
166,8.302151,177.104,2150.928,2328.032,0
167,8.351515,200.192,1515.408,1715.600,0
168,8.403278,143.392,3278.400,3421.792,0
169,8.451373,141.200,1372.880,1514.080,0
170,8.501184,182.320,1183.936,1366.256,0
