========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0  86776  16008  35916    0    0    13    36  377  433 68 31  1  0  0
33  0      0  86776  16008  35916    0    0     0     0  806  956 75 25  0  0  0
33  0      0  86776  16008  35916    0    0     0     0  782  938 74 26  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  819  951 75 25  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  808  951 74 26  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  781  979 76 24  0  0  0
33  0      0  86776  16008  35916    0    0     0     0  801  944 73 27  0  0  0
25  0      0  86776  16008  35916    0    0     0     0  788  951 76 24  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  817 1036 74 26  0  0  0
33  0      0  86776  16008  35916    0    0     0     0  852 1019 68 32  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  870 1069 66 34  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  778  940 77 24  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  791  923 79 21  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  777  873 76 24  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  815  979 74 26  0  0  0
32  0      0  86776  16008  35916    0    0     0     0  713  803 75 25  0  0  0
33  0      0  86776  16008  35916    0    0     0     0  642  567 59 41  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 1 (0.334%)
Execution Time (μs):
Mean: 187.455
Min: 135.328
Max: 357.296
50th percentile: 179.040
95th percentile: 296.928
99th percentile: 341.584
99.9th percentile: 357.296
Jitter (μs):
Mean: 2087.145
Min: 1070.704
Max: 10529.776
Response Time (μs):
Mean: 2274.600
Min: 1259.776
Max: 10808.400
50th percentile: 2189.248
95th percentile: 3103.472
99th percentile: 3616.496
99.9th percentile: 10808.400
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052117,310.480,2116.608,2427.088,0
2,0.101743,213.824,1743.376,1957.200,0
3,0.152300,269.488,2299.552,2569.040,0
4,0.201741,232.832,1740.720,1973.552,0
5,0.252276,169.136,2275.664,2444.800,0
6,0.303238,214.256,3238.288,3452.544,0
7,0.351670,214.560,1670.368,1884.928,0
8,0.401960,158.320,1959.584,2117.904,0
9,0.451863,180.544,1862.656,2043.200,0
10,0.501790,235.408,1789.568,2024.976,0
11,0.551706,149.904,1706.096,1856.000,0
12,0.601903,200.832,1903.440,2104.272,0
13,0.651874,192.720,1873.680,2066.400,0
14,0.702034,152.960,2034.368,2187.328,0
15,0.751921,188.288,1920.800,2109.088,0
16,0.801794,187.088,1794.320,1981.408,0
17,0.852011,193.712,2010.560,2204.272,0
18,0.902216,161.824,2215.792,2377.616,0
19,0.952103,213.760,2102.944,2316.704,0
20,1.001667,172.272,1667.168,1839.440,0
21,1.052248,165.248,2248.480,2413.728,0
22,1.102902,174.624,2901.920,3076.544,0
23,1.152299,197.216,2299.152,2496.368,0
24,1.210530,278.624,10529.776,10808.400,1
25,1.252095,177.344,2095.488,2272.832,0
26,1.302284,148.240,2284.224,2432.464,0
27,1.351701,141.616,1701.280,1842.896,0
28,1.401702,141.584,1701.808,1843.392,0
29,1.452195,182.944,2194.848,2377.792,0
30,1.502031,213.648,2030.736,2244.384,0
31,1.551334,306.016,1334.368,1640.384,0
32,1.601798,175.200,1797.888,1973.088,0
33,1.652030,183.680,2029.872,2213.552,0
34,1.701656,203.680,1656.352,1860.032,0
35,1.751931,218.528,1930.512,2149.040,0
36,1.801826,138.176,1826.352,1964.528,0
37,1.852225,186.256,2224.656,2410.912,0
38,1.903669,157.232,3669.056,3826.288,0
39,1.952541,316.704,2541.264,2857.968,0
40,2.002108,160.752,2108.384,2269.136,0
41,2.051071,189.072,1070.704,1259.776,0
42,2.101954,137.344,1953.808,2091.152,0
43,2.152113,223.424,2113.040,2336.464,0
44,2.201786,138.848,1786.224,1925.072,0
45,2.252274,214.208,2274.224,2488.432,0
46,2.301735,139.040,1734.720,1873.760,0
47,2.351895,188.592,1895.456,2084.048,0
48,2.402062,172.688,2062.432,2235.120,0
49,2.451825,187.776,1825.040,2012.816,0
50,2.501916,177.728,1915.904,2093.632,0
51,2.552019,220.384,2019.344,2239.728,0
52,2.601809,191.216,1808.832,2000.048,0
53,2.652228,146.704,2227.664,2374.368,0
54,2.702224,161.712,2224.464,2386.176,0
55,2.752204,228.848,2204.192,2433.040,0
56,2.803052,181.776,3051.920,3233.696,0
57,2.851912,180.352,1912.496,2092.848,0
58,2.901725,141.616,1725.456,1867.072,0
59,2.951673,164.144,1673.440,1837.584,0
60,3.002176,149.328,2176.416,2325.744,0
61,3.052075,185.424,2075.216,2260.640,0
62,3.101847,154.128,1847.024,2001.152,0
63,3.151906,140.640,1906.384,2047.024,0
64,3.201820,160.768,1820.112,1980.880,0
65,3.252194,190.400,2193.696,2384.096,0
66,3.302170,169.088,2170.480,2339.568,0
67,3.352230,148.480,2229.616,2378.096,0
68,3.402197,148.256,2197.344,2345.600,0
69,3.451995,138.480,1995.072,2133.552,0
70,3.501937,162.960,1936.704,2099.664,0
71,3.551987,173.280,1986.992,2160.272,0
72,3.601938,149.472,1937.824,2087.296,0
73,3.652012,220.832,2012.256,2233.088,0
74,3.702771,182.240,2771.456,2953.696,0
75,3.752107,190.080,2107.008,2297.088,0
76,3.801861,146.416,1861.296,2007.712,0
77,3.852077,198.448,2077.136,2275.584,0
78,3.902277,174.816,2276.816,2451.632,0
79,3.952456,303.648,2456.288,2759.936,0
80,4.001806,189.648,1806.480,1996.128,0
81,4.051689,150.736,1689.232,1839.968,0
82,4.101855,148.896,1855.232,2004.128,0
83,4.152020,139.152,2020.480,2159.632,0
84,4.201992,162.544,1991.568,2154.112,0
85,4.251991,152.784,1991.488,2144.272,0
86,4.301864,160.112,1864.048,2024.160,0
87,4.352084,170.112,2083.712,2253.824,0
88,4.402060,170.384,2059.856,2230.240,0
89,4.451998,215.152,1998.064,2213.216,0
90,4.501936,172.176,1935.920,2108.096,0
91,4.551726,188.800,1725.856,1914.656,0
92,4.601650,138.256,1649.536,1787.792,0
93,4.651680,167.568,1679.536,1847.104,0
94,4.702122,181.312,2122.304,2303.616,0
95,4.751918,196.480,1918.240,2114.720,0
96,4.802052,137.424,2051.824,2189.248,0
97,4.852024,175.744,2024.080,2199.824,0
98,4.901679,184.464,1679.440,1863.904,0
99,4.951932,166.128,1931.616,2097.744,0
100,5.001759,206.096,1759.328,1965.424,0
101,5.052015,138.128,2014.624,2152.752,0
102,5.102207,146.576,2207.456,2354.032,0
103,5.152000,200.912,2000.016,2200.928,0
104,5.202112,252.480,2112.000,2364.480,0
105,5.252072,226.992,2072.432,2299.424,0
106,5.302304,179.456,2304.448,2483.904,0
107,5.352247,193.600,2246.800,2440.400,0
108,5.402937,166.880,2936.592,3103.472,0
109,5.452097,179.040,2096.912,2275.952,0
110,5.501804,145.408,1804.192,1949.600,0
111,5.552258,149.680,2258.128,2407.808,0
112,5.602927,174.208,2926.832,3101.040,0
113,5.652000,207.872,2000.464,2208.336,0
114,5.701735,189.904,1734.736,1924.640,0
115,5.752315,157.440,2314.704,2472.144,0
116,5.803069,194.816,3069.328,3264.144,0
117,5.852122,194.384,2122.016,2316.400,0
118,5.903205,314.336,3205.152,3519.488,0
119,5.952101,145.168,2101.328,2246.496,0
120,6.001798,176.640,1798.256,1974.896,0
121,6.052112,199.056,2111.808,2310.864,0
122,6.101818,198.624,1817.568,2016.192,0
123,6.152063,171.408,2063.104,2234.512,0
124,6.202139,304.832,2138.608,2443.440,0
125,6.252009,138.096,2008.608,2146.704,0
126,6.301794,193.760,1793.696,1987.456,0
127,6.351705,202.688,1705.248,1907.936,0
128,6.401782,183.056,1782.176,1965.232,0
129,6.452040,137.328,2039.680,2177.008,0
130,6.502097,229.248,2097.360,2326.608,0
131,6.552031,144.464,2031.248,2175.712,0
132,6.601919,150.240,1919.408,2069.648,0
133,6.652257,174.144,2257.472,2431.616,0
