========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0  86664  16212  35916    0    0    12    36  378  434 68 31  1  0  0
32  0      0  86664  16212  35920    0    0     0     0  824 1015 75 25  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  775  916 78 22  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  790  883 79 21  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  771  907 79 21  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  804  986 75 25  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  804  931 77 23  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  833 1010 74 26  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  831 1014 74 26  0  0  0
33  0      0  86664  16212  35920    0    0     0     0  831 1001 74 26  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  784  913 80 20  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  826  942 73 27  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  828  961 72 28  0  0  0
33  0      0  86664  16212  35920    0    0     0     0  788  939 74 26  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  778  894 81 19  0  0  0
32  0      0  86664  16212  35920    0    0     0     0  739  787 71 29  0  0  0
33  0      0  86664  16212  35920    0    0     0     0  659  651 61 39  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 415.963
Min: 129.760
Max: 1852.640
50th percentile: 187.184
95th percentile: 1322.720
99th percentile: 1646.224
99.9th percentile: 1852.640
Jitter (μs):
Mean: 1890.908
Min: 1510.224
Max: 3410.272
Response Time (μs):
Mean: 2306.871
Min: 1696.864
Max: 3800.560
50th percentile: 2138.112
95th percentile: 3310.528
99th percentile: 3665.312
99.9th percentile: 3800.560
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051992,267.744,1991.728,2259.472,0
2,0.101923,174.304,1923.344,2097.648,0
3,0.151748,174.416,1747.552,1921.968,0
4,0.202818,177.728,2818.384,2996.112,0
5,0.251795,155.392,1795.040,1950.432,0
6,0.301896,173.872,1896.352,2070.224,0
7,0.351672,166.544,1671.568,1838.112,0
8,0.401690,131.456,1689.888,1821.344,0
9,0.451604,138.080,1604.016,1742.096,0
10,0.501698,954.928,1697.792,2652.720,0
11,0.551995,162.176,1995.456,2157.632,0
12,0.601938,188.992,1938.208,2127.200,0
13,0.651646,131.344,1645.584,1776.928,0
14,0.701826,1097.088,1826.176,2923.264,0
15,0.751974,160.112,1973.904,2134.016,0
16,0.801892,200.032,1892.016,2092.048,0
17,0.851518,197.312,1518.080,1715.392,0
18,0.902016,144.896,2016.272,2161.168,0
19,0.952071,154.544,2070.864,2225.408,0
20,1.001783,1005.728,1782.752,2788.480,0
21,1.052018,256.112,2017.712,2273.824,0
22,1.102002,174.704,2001.632,2176.336,0
23,1.151526,208.880,1525.936,1734.816,0
24,1.201939,146.848,1939.136,2085.984,0
25,1.252012,134.816,2011.776,2146.592,0
26,1.303142,169.344,3142.048,3311.392,0
27,1.351762,131.776,1762.288,1894.064,0
28,1.401738,1134.928,1738.128,2873.056,0
29,1.452083,221.376,2082.944,2304.320,0
30,1.503141,179.648,3140.752,3320.400,0
31,1.551695,168.592,1695.040,1863.632,0
32,1.603161,448.752,3160.784,3609.536,0
33,1.651705,134.832,1705.008,1839.840,0
34,1.701799,1011.040,1799.024,2810.064,0
35,1.751910,181.824,1909.648,2091.472,0
36,1.801819,1042.272,1818.848,2861.120,0
37,1.852013,171.632,2013.072,2184.704,0
38,1.901940,212.544,1940.144,2152.688,0
39,1.951802,164.256,1801.600,1965.856,0
40,2.001948,1852.640,1947.920,3800.560,0
41,2.052166,153.744,2165.792,2319.536,0
42,2.101920,145.600,1920.336,2065.936,0
43,2.152137,152.144,2136.704,2288.848,0
44,2.201997,140.624,1997.488,2138.112,0
45,2.251824,139.120,1824.096,1963.216,0
46,2.301894,1646.224,1894.112,3540.336,0
47,2.351625,131.072,1624.944,1756.016,0
48,2.401801,1053.056,1801.184,2854.240,0
49,2.451696,133.184,1696.384,1829.568,0
50,2.501784,579.536,1784.368,2363.904,0
51,2.552160,172.768,2160.096,2332.864,0
52,2.603151,155.072,3150.896,3305.968,0
53,2.651831,167.824,1831.424,1999.248,0
54,2.701980,203.248,1980.112,2183.360,0
55,2.751695,162.304,1694.544,1856.848,0
56,2.801836,1363.952,1835.888,3199.840,0
57,2.851651,144.304,1650.672,1794.976,0
58,2.901971,216.064,1970.784,2186.848,0
59,2.951644,131.856,1643.984,1775.840,0
60,3.001921,231.184,1921.232,2152.416,0
61,3.052232,270.320,2232.192,2502.512,0
62,3.101996,183.328,1996.176,2179.504,0
63,3.151685,175.152,1684.656,1859.808,0
64,3.201705,1130.096,1704.640,2834.736,0
65,3.251533,228.032,1533.088,1761.120,0
66,3.301958,211.488,1957.632,2169.120,0
67,3.351915,149.648,1914.880,2064.528,0
68,3.403070,131.712,3069.696,3201.408,0
69,3.451691,146.688,1691.072,1837.760,0
70,3.502664,137.632,2663.920,2801.552,0
71,3.551829,155.584,1828.752,1984.336,0
72,3.601981,137.968,1980.912,2118.880,0
73,3.651673,169.872,1673.296,1843.168,0
74,3.701693,1382.800,1693.152,3075.952,0
75,3.751649,141.872,1649.184,1791.056,0
76,3.802101,137.952,2101.232,2239.184,0
77,3.851788,141.104,1787.920,1929.024,0
78,3.901922,147.728,1921.600,2069.328,0
79,3.952002,215.216,2002.144,2217.360,0
80,4.001761,1164.160,1760.576,2924.736,0
81,4.051556,257.616,1556.096,1813.712,0
82,4.101701,1022.304,1701.024,2723.328,0
83,4.152084,186.800,2083.584,2270.384,0
84,4.202004,197.696,2003.936,2201.632,0
85,4.251705,147.280,1705.264,1852.544,0
86,4.301697,172.896,1696.992,1869.888,0
87,4.352017,163.264,2017.072,2180.336,0
88,4.401912,186.256,1912.000,2098.256,0
89,4.451553,216.352,1553.024,1769.376,0
90,4.501703,1003.184,1702.592,2705.776,0
91,4.551978,179.984,1977.584,2157.568,0
92,4.601721,1004.624,1721.328,2725.952,0
93,4.651648,177.232,1648.016,1825.248,0
94,4.701846,1153.696,1845.872,2999.568,0
95,4.751553,243.728,1552.624,1796.352,0
96,4.801895,150.672,1895.184,2045.856,0
97,4.851886,132.800,1885.520,2018.320,0
98,4.901815,1204.720,1814.912,3019.632,0
99,4.951832,142.800,1832.416,1975.216,0
100,5.003408,256.960,3408.352,3665.312,0
101,5.052239,145.632,2238.720,2384.352,0
102,5.101831,1132.960,1831.264,2964.224,0
103,5.151920,185.856,1920.064,2105.920,0
104,5.201792,1216.192,1792.144,3008.336,0
105,5.251983,284.128,1983.088,2267.216,0
106,5.301814,938.048,1814.016,2752.064,0
107,5.352096,177.792,2096.176,2273.968,0
108,5.401710,1131.520,1709.968,2841.488,0
109,5.452102,173.920,2101.760,2275.680,0
110,5.501994,141.264,1993.600,2134.864,0
111,5.551808,133.056,1808.304,1941.360,0
112,5.603197,168.816,3197.232,3366.048,0
113,5.651617,168.352,1617.264,1785.616,0
114,5.703410,309.264,3409.600,3718.864,0
115,5.751923,198.096,1922.784,2120.880,0
116,5.801932,130.688,1931.872,2062.560,0
117,5.851916,238.944,1915.840,2154.784,0
118,5.902032,229.104,2032.224,2261.328,0
119,5.951676,170.016,1675.808,1845.824,0
120,6.001825,1288.816,1824.720,3113.536,0
121,6.051708,169.568,1707.920,1877.488,0
122,6.101700,1122.752,1700.080,2822.832,0
123,6.151682,132.432,1682.096,1814.528,0
124,6.201814,1227.424,1813.632,3041.056,0
125,6.252024,151.712,2023.648,2175.360,0
126,6.301711,1425.056,1711.488,3136.544,0
127,6.351868,131.600,1867.552,1999.152,0
128,6.401973,1261.872,1972.832,3234.704,0
129,6.452127,151.232,2127.344,2278.576,0
130,6.501528,170.624,1528.080,1698.704,0
131,6.552042,195.840,2042.048,2237.888,0
132,6.601853,198.784,1853.024,2051.808,0
133,6.651689,184.448,1689.008,1873.456,0
134,6.701984,173.216,1983.616,2156.832,0
135,6.751600,148.496,1600.208,1748.704,0
136,6.801978,136.896,1978.144,2115.040,0
137,6.851708,169.504,1708.160,1877.664,0
138,6.901968,158.848,1968.304,2127.152,0
139,6.951918,175.024,1918.384,2093.408,0
140,7.001901,167.216,1900.960,2068.176,0
141,7.051699,205.632,1698.528,1904.160,0
142,7.101808,1029.936,1808.000,2837.936,0
143,7.151627,149.744,1627.376,1777.120,0
144,7.201675,1146.832,1674.624,2821.456,0
145,7.251831,148.576,1830.640,1979.216,0
146,7.301557,192.128,1556.640,1748.768,0
147,7.351777,182.032,1777.168,1959.200,0
148,7.401820,1490.976,1819.552,3310.528,0
149,7.451999,182.080,1999.280,2181.360,0
150,7.501802,700.368,1802.032,2502.400,0
151,7.552093,191.280,2093.392,2284.672,0
152,7.603159,164.864,3158.752,3323.616,0
